name01#0,"""アナウンサー"""
st_042060_0001#0,"""A.D.2028/3/23/13:00"""
st_042060_0010#0,"""おいしい、これ！<br>とってもおいしいよ、お姉ちゃん！"""
st_042060_0020#0,"""はいはい食べながら喋らない。<br>口まわりこぼれてるじゃない。<br>ほら動かないで、拭くから。"""
st_042060_0030#0,"""ひ、ヒツギちゃん！<br>わたしもちょっとこぼしちゃって<br>汚れちゃった！\u3000口まわり！"""
st_042060_0040#0,"""あっそ、はいこれ。"""
st_042060_0050#0,"""しっかし、ランチのお店の選別から<br>席の予約、注文まで終わっちゃってるなんて<br>便利な世の中になったものよね。"""
st_042060_0060#0,"""ヒツギちゃんも持てばいいと思うよー？<br>便利だよー、これ。ゲーム以外にも使えるし<br>わたしはもう手放せない。"""
st_042060_0070#0,"""あたしは誰にも見られずに<br>部屋で落ち着いて<br>ＰＣ触るのが好きなの。"""
st_042060_0080#0,"""そうはいってもこのご時世。<br>こういうのがないと不便だよー。<br>専用のアプリもいっぱい開発されてるしね。"""
st_042060_0090#0,"""特に、このＹＭＴコーポレーションの<br>作るアプリは、かゆいところに手が届いてて<br>とっても使いやすいんだよねー。"""
st_042060_0100#0,"""この店を予約するやつも<br>さっき見せたコーディネイトするやつも<br>ＹＭＴコーポレーションの作ったやつ。"""
st_042060_0110#0,"""しかも、ここの社長さんって<br>わたしたちの学校の卒業生らしいよ。"""
st_042060_0120#0,"""なんでそんなに詳しいのよ、コオリ。"""
st_042060_0130#0,"""ヒツギちゃんが疎すぎるのー。<br>最近話題になってるんだよ、本当に。"""
st_042060_0140#0,"""あっほら、噂をすればちょうどいま<br>ワイドショーに出てるよ、その社長さん。"""
st_042060_0150#0,"""今、大大大、大注目のＹＭＴコーポレーション！<br>その社屋にお邪魔させてもらっています！"""
st_042060_0160#0,"""しかもしかも、いまや時代の寵児とも呼ばれる<br>亜贄萩斗社長自らの案内なんですよー！<br>社長、今日はよろしくお願いしますね！"""
st_042060_0170#0,"""こちらこそ、よろしく。"""
st_042060_0180#0,"""社名、社長のお名前とかではないんですね。<br>どうして、ＹＭＴコーポレーションと？<br>何かの略称、なんですよね？"""
st_042060_0190#0,"""何の略称だと思う？"""
st_042060_0200#0,"""ええと……ＹＭＴですから……<br>イヤーとかマルチとか入りそうですね！"""
st_042060_0210#0,"""残念。<br>答えは、ヤ・マ・トだよ。"""
st_042060_0220#0,"""ヤ・マ・ト？"""
st_042060_0230#0,"""ヤマト、とは心意気のことを指してもいる。<br>私が日本人であるのも、理由の一つ。"""
st_042060_0240#0,"""そしてなにより、かの有名な<br>「戦艦大和」のこともリスペクトしての名称。<br>それゆえの、ＹＭＴさ。"""
st_042060_0250#0,"""は、はあ、戦艦大和……ですか。<br>そういえば、会社の入り口にも模型が<br>飾ってありましたよね。あれも……？"""
st_042060_0260#0,"""残念。<br>あれは大和ではなく、武蔵だよ。<br>就役１９４２年の、大和型二番艦さ。"""
st_042060_0270#0,"""え、そうなんですか？"""
st_042060_0280#0,"""まあ、区別がつかないのも無理はないね。<br>大和と武蔵は同型艦だし、今の話の流れからすれば<br>勘違いしても仕方がないだろう。"""
st_042060_0290#0,"""は、はあ……"""
st_042060_0300#0,"""戦艦大和は、私の魂とも言える存在だからね。<br>ここではなく、私の自宅の、もっとも映える場所に<br>飾ってあるんだ。そちらも見に来るかい？"""
st_042060_0310#0,"""あ、いえ、流石にそこまでは……"""
st_042060_0320#0,"""そうかい？\u3000残念だ。"""
st_042060_0330#0,"""ああ、見てくれ。そこに飾ってある模型は<br>２０００年代末に正式採用された１０式戦車。<br>……これもまた美しい。そうは思わないかい？"""
st_042060_0340#0,"""昨今は型式や種類、年代の統一に<br>深いこだわりを見せる人も多いと聞く。<br>私もそれを悪いとは言わない。"""
st_042060_0350#0,"""だけど私は、旧大戦時代の兵器も<br>今の時代の兵器も、等しく愛しているんだ。<br>歴史の変遷を知ることができるからね。"""
st_042060_0360#0,"""ほら、よーく見て欲しいんだ。<br>この模型の…………"""
st_042060_0370#0,"""……おたくだ。"""
st_042060_0380#0,"""……おたくだね。"""
st_042060_0390#0,"""おたくって？"""
st_042060_0400#0,"""コオリみたいな人のことよ。"""
st_042060_0410#0,"""説明がざっくりすぎるよヒツギちゃん！"""
st_042060_0420#0,"""アルくん、おたくっていうのは<br>趣味に夢中になっちゃう人のことだからね。"""
st_042060_0430#0,"""ふーん。<br>コオリは何に夢中になってるの？"""
st_042060_0440#0,"""そ、それは……"""
st_042060_0450#0,"""……どうしてそこで言い淀むのよ。"""
st_042060_0460#0,"""……なるほど。「おたく」ですか……<br><%me>さんは、そんな風に<br>夢中になっていること、あります？"""
st_042060_0470#0,"""１．アークスの任務に夢中だよ"""
st_042060_0480#0,"""２．シエラに夢中だよ"""
st_042060_0490#0,"""３．とくにない"""
st_042060_0500#0,"""アークスの鑑！<br>ほんと、任務をサボったりずさんな報告をする<br>みなさんに見習ってほしいですよ。"""
st_042060_0510#0,"""え……えへへ、ありがとうございます。<br>お世辞ってわかってても、うれしいです。"""
st_042060_0520#0,"""でもでもでもでも、聞いておいてなんですが<br>そういうことは、あんまり面と向かって<br>言うものじゃありませんからね。"""
st_042060_0530#0,"""えー、何かないんですか？<br>夢中とまでいかなくても、なんかこう<br>注目してるものとか、こととか……"""
st_042060_0540#0,"""仕事以外の息抜き見つけるのも<br>きっといいことだと思いますよ。"""
st_042060_0550#0,"""ちなみに私は今、みなさんの管理業務に<br>夢中です！\u3000いわば、管理おたくです！<br>……え、意味が違う？"""
st_042060_0560#0,"""なんにせよ、夢中になれるものがあるって<br>とっても幸せなことですよねー。"""
