Title_Yellow#0,"""【イエローポータル：$(0)】"""
Title_Purple#0,"""【パープルポータル：$(0)】"""
DirectionTitle#0,"""【$(0)】"""
Battledia#0,"""バトルディア"""
Title#0,"""トレイニア・コクーン"""
DirectionTitle#1,"""【$(0)】"""
BrokenAllBarrierPod#0,"""コンテナのプロテクトが解除されました。"""
LestBarrierPodNum#0,"""バリアポッド、残数$(0)機。"""
BarrierActive#0,"""コンテナの周囲にバリアポッドが展開しました。"""
Title#1,"""リューカーデバイス"""
DirectionTitle#2,"""【$(0)】"""
GetItem#0,"""メッセージパックからアイテムを入手しました。"""
Title#2,"""リージョンマグ"""
DirectionTitle#3,"""【$(0)】"""
Title#3,"""トレイニア・タワー"""
DirectionTitle#4,"""【$(0)】"""
