Title#0,"""打破境界的鬥將"""
Explanation#0,"""在地下坑道深處，發現了也曾在市區出現過的<br>謎樣敵方機械敵人。<br>越過境界，若對出現的存在<br>對象置之不理，則可以預測探索或其他<br>活動都可能受到影響及損害。<br>ARKS各成員請在準備完後依序出擊<br>發現並擊破目標敵人。<br>――――――――――――――――――――<br>失敗條件／超過限制時間"""
Title#1,"""境界を破る闘将"""
Explanation#1,"""地下坑道の奥地に、市街地にも姿を見せた<br>謎の敵性機械エネミーを確認した。<br>境界を越え、出現する対象存在を<br>このまま放置しておけば、探索中などにも<br>影響や被害が出ることが予想される。<br>アークス各員は準備が整い次第、順次出撃し<br>対象のエネミーを発見、撃退せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""擊破謎樣敵方機械敵人"""
SimpleExplanation#1,"""謎の敵性機械エネミーの撃破"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
