name01#0,"""Hilda"""
name01#1,"""ヒルダ"""
11_voice_navi02_121#0,"""หืม ทำได้ไม่เลวเหมือนกันนี่<br>ถ้าอย่างนั้น ต่อไปก็คือการประยุกต์ใช้"""
11_voice_navi02_122#0,"""สำหรับอาวุธนั้น จะมีวิธีการประยุกต์ใช้อยู่มากมายหลายวิธี<br>ลองทดลองใช้ตามแบบที่ท่านชอบดูก็แล้วกัน"""
text00#0,"""เกี่ยวกับ [Weapon Action]"""
text01#0,"""Tutorial: อธิบายเกี่ยวกับ [Weapon Action] ของ Hunter<br><br>Weapon Action คือท่าทางเฉพาะที่จะเปลี่ยนไป<br>ตามอาวุธที่กำลังสวมใส่อยู่"""
text02#0,"""หากท่านกด <%WeaponAction> ในขณะที่สวมใส่ Sword อยู่<br>ตัวละครก็จะตั้งท่าป้องกัน<br>และนี่คือ [Guard] ซึ่งเป็น Weapon Action ของ Sword"""
text03#0,"""หาก Guard การโจมตีของศัตรู<br>ก็จะสามารถลดดาเมจที่ได้รับลงได้<br><br>ทว่า จะไม่สามารถ Guard การโจมตีจากทางด้านอื่น<br>นอกจากทางด้านหน้าได้ ดังนั้นกรุณาระวังด้วย"""
text04#0,"""Tutorial: อธิบายเกี่ยวกับ [Weapon Action] ของ Ranger<br><br>Weapon Action คือท่าทางเฉพาะที่จะเปลี่ยนไป<br>ตามอาวุธที่กำลังสวมใส่อยู่"""
text06#0,"""ยกตัวอย่างเช่น หากกด <%WeaponAction> <br>ในขณะที่กำลังสวมใส่ Assault Rifle อยู่<br>Weapon Palette ก็จะถูกสลับไปเป็น Alt-Palette<br><br>และนี่คือ Weapon Action ของ Assault Rifle<br><br>ใน Option ท่านสามารถเปลี่ยนวิธีการสลับ Palette ระหว่าง  <br>กด <%WeaponAction> หนึ่งครั้ง (กดอีกครั้งเพื่อเปลี่ยนกลับ) <br>หรือกดปุ่มค้าง (ปล่อยปุ่มเพื่อเปลี่ยนกลับ) ได้"""
text07#0,"""หากสลับไปเป็น Alt-Palette แล้วกด <%NormalAttack><br>ก็จะสามารถยิง [Grenade Shell] ได้<br><br>ถ้าเช่นนั้น มาลองฝึกของจริงกันเลยเถอะ"""
text08#0,"""Tutorial: อธิบายเกี่ยวกับ [Weapon Action] ของ Wizard<br><br>Weapon Action นั้น ก็คือท่าทางเฉพาะที่จะเปลี่ยนไป<br>ตามอาวุธที่กำลังสวมใส่อยู่"""
text10#0,"""ยกตัวอย่างเช่น หากกด <%WeaponAction> <br>ในขณะที่กำลังสวมใส่ Rod อยู่<br>Weapon Palette ก็จะถูกสลับไปเป็น Alt-Palette<br><br>และนี่คือ Weapon Action ของ Rod<br><br>ใน Option ท่านสามารถเปลี่ยนวิธีการสลับ Palette ระหว่าง  <br>กด <%WeaponAction> หนึ่งครั้ง (กดอีกครั้งเพื่อเปลี่ยนกลับ) <br>หรือกดปุ่มค้าง (ปล่อยปุ่มเพื่อเปลี่ยนกลับ) ได้"""
text11#0,"""หากสลับไปเป็น Alt-Palette แล้วกด <%NormalAttack><br>ก็จะสามารถปล่อย [Barta] ได้<br><br>ถ้าเช่นนั้น มาลองฝึกของจริงกันเลยเถอะ"""
text12#0,"""Tutorial: อธิบายเกี่ยวกับ [WeaponAction] ของ Samurai<br><br>Weapon Action นั้น ก็คือท่าทางเฉพาะที่จะเปลี่ยนไป<br>ตามอาวุธที่กำลังสวมใส่อยู่"""
text13#0,"""ยกตัวอย่างเช่น หากกด <%WeaponAction> <br>ในขณะที่กำลังสวมใส่ Bullet Bow อยู่<br>Weapon Palette ก็จะถูกสลับไปเป็น Alt-Palette<br><br>และนี่คือ Weapon Action ของ Bullet Bow<br><br>ใน Option ท่านสามารถเปลี่ยนวิธีการสลับ Palette ระหว่าง  <br>กด <%WeaponAction> หนึ่งครั้ง (กดอีกครั้งเพื่อเปลี่ยนกลับ) <br>หรือกดปุ่มค้าง (ปล่อยปุ่มเพื่อเปลี่ยนกลับ) ได้"""
text14#0,"""หากสลับไปเป็น Alt-Palette แล้วกด <%NormalAttack><br>ก็จะสามารถยิง [Penetrate Arrow] ได้<br><br>ถ้าเช่นนั้น มาลองฝึกของจริงกันเลยเถอะ"""
text100#0,"""กด <%WeaponAction> เพื่อตั้งท่า Guard ในช่วงระยะเวลาหนึ่ง!"""
text101#0,"""กด <%WeaponAction> เพื่อสลับเป็น Alt-Palette และกด <%NormalAttack> เพื่อยิง Grenade Shell!"""
text102#0,"""กด <%WeaponAction> เพื่อสลับเป็น Alt-Palette และกด <%NormalAttack> เพื่อปล่อย Barta"""
text103#0,"""กด <%WeaponAction> เพื่อสลับเป็น Alt-Palette และกด <%NormalAttack> เพื่อยิง Penetrate Arrow"""
text1000#0,"""กด <%WeaponAction> และตั้งท่า Guard ในช่วงระยะเวลาหนึ่ง!"""
