Name#0,"""Reflexes  Butler"""
Name#1,"""反射神経バトラー"""
MikiriStart#0,"""/toge ตอนนี้ล่ะ กดเลย !"""
MikiriSuccessHiscore#0,"""เสียท่าจนได้...<br>นี่เป็นสถิติใหม่ที่สูงที่สุดเลยนะ!<br>ระดับความยาก: $(0)<br>เวลาของท่าน: $(2).$(1) วินาที"""
MikiriSuccess#0,"""แพ้จนได้...<br>ระดับความยาก: $(0)<br>เวลาของท่าน: $(2).$(1) วินาที"""
MikiriFailed#0,"""มันจะขี้เกียจเกินไปหน่อยแล้วนะ !<br>ระดับความยาก: $(0)<br>เวลาของเครื่อง: $(2).$(1) วินาที"""
MikiriBreakaway#0,"""/moya เตรียมตัวให้พร้อม<br>พอบอกว่า [ตอนนี้ล่ะ กดเลย !] ก็กดเลยนะ!"""
MikiriRecord#0,"""สถิติสุดในปัจจุบัน: $(2).$(0) วินาที<br>เจ้าของสถิติคนปัจจุบัน: $(1)"""
MikiriRecordNone#0,"""ยังไม่มีคะแนนสูงสุดถูกบันทึก"""
MikiriEasy#0,"""Easy"""
MikiriNormal#0,"""Normal"""
MikiriHard#0,"""Hard"""
MikiriHiScore#0,"""High Score"""
MikiriStart#1,"""/toge 今ダ押セ！"""
MikiriSuccessHiscore#1,"""マイリマシタ......。<br>最高記録更新デスヨ！<br>難易度：$(0)<br>貴方のタイム：$(2).$(1)秒"""
MikiriSuccess#1,"""負ケマシタ......。<br>難易度：$(0)<br>貴方のタイム：$(2).$(1)秒"""
MikiriFailed#1,"""素晴ラシク鈍イナ君ハ！<br>難易度：$(0)<br>マシンのタイム：$(2).$(1)秒"""
MikiriBreakaway#1,"""/moya オ手ツキダヨ。<br>『今ダ押セ！』ガ出テカラ<br>押シテネ！"""
MikiriRecord#1,"""現在の最高タイム：$(2).$(0)秒<br>現在の記録保持者：<br>$(1)"""
MikiriRecordNone#1,"""ハイスコアハ現在記録サレテイマセン。"""
MikiriEasy#1,"""ノーマルモード"""
MikiriNormal#1,"""ハードモード"""
MikiriHard#1,"""ベリーハードモード"""
MikiriHiScore#1,"""ハイスコアモード"""
