11_voice_NPC_5054_101#0,"""喔喔，你來得正好！<br>我剛好有東西要給你！"""
Npc54_favs_before_020#0,"""這個東西你拿著吧。"""
Npc54_favs_after_010#0,"""這是你平常辛苦工作的報酬！<br>哎呀，別客氣！"""
Npc54_favs_after_020#0,"""以後也要繼續進步喔！"""
11_voice_NPC_5054_101#1,"""おお、よく来たな！<br>丁度良い、渡したい物があったのだ！"""
Npc54_favs_before_020#1,"""さあ、これを持っていくといい！"""
Npc54_favs_after_010#1,"""日頃の頑張りに対する労いだ！<br>なに、遠慮することはない！"""
Npc54_favs_after_020#1,"""これからも精進するんだぞ！"""
Npc54_favs_present_010#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_020#0,"""得到喬瑟夫給予的『閃現刺拳』。"""
Npc54_favs_present_030#0,"""得到喬瑟夫給予的『輪轉連拳』"""
Npc54_favs_present_040#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_050#0,"""得到喬瑟夫給予的『衝鋒直拳』"""
Npc54_favs_present_060#0,"""得到喬瑟夫給予的『震地咆哮』"""
Npc54_favs_present_070#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_080#0,"""得到喬瑟夫給予的『裏拳三連擊』"""
Npc54_favs_present_090#0,"""得到喬瑟夫給予的『閃影百裂拳』"""
Npc54_favs_present_100#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_010#1,"""ジョーゼフから『シンセサイザー』を受け取りました。"""
Npc54_favs_present_020#1,"""ジョーゼフから『フリッカージャブ』を受け取りました。"""
Npc54_favs_present_030#1,"""ジョーゼフから『ペンデュラムロール』を受け取りました。"""
Npc54_favs_present_040#1,"""ジョーゼフから『シンセサイザー』を受け取りました。"""
Npc54_favs_present_050#1,"""ジョーゼフから『ストレイトチャージ』を受け取りました。"""
Npc54_favs_present_060#1,"""ジョーゼフから『クエイクハウリング』を受け取りました。"""
Npc54_favs_present_070#1,"""ジョーゼフから『シンセサイザー』を受け取りました。"""
Npc54_favs_present_080#1,"""ジョーゼフから『サプライズナックル』を受け取りました。"""
Npc54_favs_present_090#1,"""ジョーゼフから『フラッシュサウザンド』を受け取りました。"""
Npc54_favs_present_100#1,"""ジョーゼフから『シンセサイザー』を受け取りました。"""
Npc54_MesPack_010#0,"""有注意到<br>各行星中的<br>你發現了嗎？"""
Npc54_MesPack_020#0,"""這是降落在各行星的先遣部隊<br>這裡留有一些像是情報的文字。<br>有機會你可以看看。"""
Npc54_MesPack_030#0,"""只要靠近訊息包<br>就能進行連線，<br>這樣就能輕鬆閱覽資料。"""
Npc54_MesPack_010#1,"""各惑星に置いてある<br>メッセージパックには<br>気付いているか？"""
Npc54_MesPack_020#1,"""あれは、各惑星に降り立った先行部隊が<br>役立つ情報などを書き残したものだ。<br>機会があったら見てみるといい。"""
Npc54_MesPack_030#1,"""メッセージパックに近づいて<br>アクセスするだけで<br>簡単に閲覧することが可能だ。"""
11_voice_NPC_5054_100#0,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#1,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_100#2,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#3,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_100#4,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#5,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_100#6,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#7,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_100#8,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#9,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_100#10,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#11,"""常日頃から、研鑽を忘れてはならん！<br>アークスは日々、精進してこそだ！"""
11_voice_NPC_5054_101#2,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
11_voice_NPC_5054_101#3,"""鍛えられた肉体には健全な魂が宿る！<br>諸君はダーカーと戦っていくのだ<br>ことさらに心の力が重要となるぞ！"""
11_voice_NPC_5054_101#4,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
11_voice_NPC_5054_101#5,"""鍛えられた肉体には健全な魂が宿る！<br>諸君はダーカーと戦っていくのだ<br>ことさらに心の力が重要となるぞ！"""
Alice_01_10#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_20#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_30#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_40#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_50#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_60#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與達卡戰鬥。<br>心的力量是很重要的！"""
Alice_01_10#1,"""ダーカー以外の生物との戦いを<br>どう思うか、か。"""
Alice_01_20#1,"""成る程、アークスたるもの<br>皆、一度は考えることだな。"""
Alice_01_30#1,"""だが、気に病む必要はない。<br>我々は決して侵略者ではないのだ。"""
Alice_01_40#1,"""ダーカーの影響で凶暴化した以外の<br>生物に危害を加えたり、捕獲や<br>身体の組織の採取は許されてはいない。"""
Alice_01_50#1,"""また凶暴化した生物がいる地域以外には<br>一般のアークスに任務が発生しないよう<br>あらかじめ十分調査されている。"""
Alice_01_60#1,"""任務先にあるレーザーフェンスなどは<br>無害な生物を遠ざけるためのもの。<br>調査の過程で切り分けられているのだ。"""
11_voice_NPC_5054_101#6,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb9_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_101#7,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb9_020#1,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_101#8,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb10_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_101#9,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb10_020#1,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_101#10,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb11_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_101#11,"""ダークファルスが復活したと聞く。<br>私も隠居している場合では<br>ないのかもしれないな。"""
Npc54_mb11_020#1,"""衰えたとはいえ、経験は十分にある。<br>望まれれば、いつでも<br>戦場に立つとしよう。"""
11_voice_NPC_5054_100#12,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb12_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_100#13,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb12_020#1,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_100#14,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb13_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_100#15,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb13_020#1,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_100#16,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb14_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_100#17,"""敵はより強大になってきているが<br>アークスとて日々進化している。<br>案ずる必要はないぞ。"""
Npc54_mb14_020#1,"""この私も必要とあらばこの力<br>如何様にでも振るってみせよう。"""
11_voice_NPC_5054_104#0,"""……沒想到，在回歸本職之際<br>竟然會發生這件事。"""
11_voice_NPC_5054_104#1,"""……まさか、現役に復帰した矢先に<br>こんなことが起ころうとはな。"""
