st_051070_0010#0,"""ひっ……ひいっ！<br>ひいいいいーーっ！"""
st_051070_0020#0,"""……改めまして<br>ご助力感謝いたします。"""
st_051070_0030#0,"""兄様との合流を焦るあまり<br>探索網への意識が疎かでした。"""
st_051070_0040#0,"""お名前、聞かせていただけますか。"""
st_051070_0050#0,"""<%me>様。<br>……貴方は命の恩人です。"""
st_051070_0060#0,"""大袈裟なんてことはありません。<br>私は、命を狙われています。<br>この国の、王から。"""
st_051070_0070#0,"""どうか名乗らせてください。<br>私の名は……"""
st_051070_0080#0,"""……そこまでだよ。<br>記録の迷い子さん。<br>元の世界にびゅーんと戻ろう"""
st_051070_0090#0,"""……っ！？<br>ど、どうされましたか！"""
st_051070_0100#0,"""…………消えた？"""
st_051070_0105#0,"""そんな、あの方は一体……？"""
name01#0,"""兵士"""
name02#0,"""？？？"""
