Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""/mn1 /ci1 1 เอ่อคือ คุณ Risa คะ<br>รู้สึกว่าจะมีคุณศัตรูที่แผ่รังสีฆ่าฟัน<br>ปรากฏตัวออกมาแล้วล่ะค่ะ......"""
Success#2,"""/mn19 /ci1 1 เอ่อคือ คุณ Risa คะ<br>ถ้าจำไม่ผิดชั้นจำได้ว่าเคยพูดเรื่อง<br>ตามหาร้านเค้กอยู่ไม่ใช่เหรอคะ......"""
Failure#2,"""/mn2 /ci4 1 ขะ ขอโทษค่ะ<br>ชั้นขอถอนตัวออกไปก่อนนะคะ!"""
Dead#2,"""อือ...... ทั้งๆ ที่ชั้นแค่มาตามหา<br>ร้านเค้กเท่านั้นเองแท้ๆ<br>ทำไมชั้นต้องมาเจอแบบนี้ด้วย......"""
BuddyDead#2,"""/mn20 /ci2 1 เอ่อคือ คุณ Risa คะ<br>แบบนั้นมันน่าจะโทรมเกินกว่า<br>ที่จะเรียกว่าพักแล้วมั้งคะ?"""
Evolution#2,"""/ci1 1 สำหรับตัวชั้นน่ะ<br>ชั้นอยากจะให้ร้านเค้กโผล่<br>ออกมาเร็วๆ แล้วล่ะค่ะ......"""
Begin#3,"""/mn1 /ci1 1 あの、リサさん。<br>殺気に誘われて、敵さんが<br>出てきてるんですけど……"""
Success#3,"""/mn19 /ci1 1 あの、リサさん。<br>たしかケーキ屋さんを探してるって<br>話じゃありませんでしたっけ……"""
Failure#3,"""/mn2 /ci4 1 ごっ、ごめんなさい。<br>撤退させてもらいます！"""
Dead#3,"""/ci4 1 うう……ケーキ屋さんを<br>探しにきただけなのに<br>どうしてこんな目に……"""
BuddyDead#3,"""/mn20 /ci2 1 あの、リサさん。<br>休憩にしてはボロボロすぎや<br>しませんか？"""
Evolution#3,"""/ci1 1 私としては、早いところ<br>ケーキ屋さんに出てきて<br>欲しいんですが……"""
