r01_gd_flo_wi#0,"""フワン"""
r01_gd_pyc_ba#0,"""ティノス"""
r01_gd_sol_sw#0,"""ペダス・ソード"""
r01_gd_sol_swld#0,"""ペダクス・ソード"""
r01_gd_sol_ri#0,"""ペダス・ガン"""
r01_gd_sol_rild#0,"""ペダクス・ガン"""
r01_gd_sol_ax#0,"""ペダス・アックス"""
r01_gd_sol_axld#0,"""ペダクス・アックス"""
r01_gd_sol_lu#0,"""ペダス・ランチャー"""
r01_gd_sol_luld#0,"""ペダクス・ランチャー"""
r01_gd_gor_ba#0,"""ゴロロン"""
r01_gd_gor_bald#0,"""ゴロロクス"""
r01_gd_for_ba#0,"""ドッツ"""
r01_gd_box_ba#0,"""ナグルス"""
r01_gd_phe_ba#0,"""オルク"""
r01_gd_ktn_ba#0,"""ブジン"""
r01_gd_mag_ba#0,"""ヴァラス"""
r01_gd_dra_ba#0,"""ネクス・エアリオ"""
r01_gd_dra_rai#0,"""ネクス・ヴェラ"""
r01_gd_gia_sw#0,"""ダイダル・ソード"""
r01_gd_gia_ax#0,"""ダイダル・アックス"""
r01_gd_sol_rai#0,"""ペダス・ヴェラ"""
r01_gd_god_1#0,"""？？？？？"""
r01_nat_monki_ba#0,"""ウーダン・ロア"""
r01_nat_month_ba#0,"""ザウーダン・ロア"""
r01_nat_wol_sm#0,"""ガルフ・ロア"""
r01_nat_wol_bi#0,"""フォンガルフ・ロア"""
r01_nat_bir_ba#0,"""アギニス・ロア"""
r01_nat_armma_ba#0,"""ガラガロンゴ"""
r01_nat_bea_ba#0,"""クラッグベア"""
r01_nat_fan_m#0,"""アードバンサー"""
r01_nat_fan_f#0,"""アードバンシー"""
r01_nat_fan_thum#0,"""サンダバンサー"""
r01_nat_fan_thuf#0,"""サンダバンシー"""
r01_unk_rap_ba#0,"""ラッピー"""
r01_alt_hrp_ba#0,"""エヴィルアンジェ"""
r01_alt_lzd_fl#0,"""リザド・フレイ"""
r01_alt_lzd_sn#0,"""リザド・アイス"""
r01_alt_lzd_th#0,"""リザド・サンダ"""
r01_alt_der_ba#0,"""ヘルーク"""
r01_alt_hog_ba#0,"""バインホッグ"""
r01_alt_cli_ba#0,"""チアキュリオ"""
r01_alt_wlf_ba#0,"""ワウロン"""
r01_alt_flg_ba#0,"""ビグフロッガ"""
r01_alt_tis_ba#0,"""エルディサイズ"""
r01_ani_rbt_w#0,"""サニィ"""
r01_ani_rbt_b#0,"""ムーニィ"""
r01_ani_sli_a#0,"""オタリカ"""
r01_ani_ush_a#0,"""モォベル"""
r01_ani_ush_b#0,"""タウベル"""
r01_ani_boa_a#0,"""ノッシ"""
r01_ani_kit_a#0,"""フォクス"""
r01_ani_moo_a#0,"""ディアン"""
r01_ani_bir_s#0,"""-"""
r01_ani_brs_a#0,"""パット"""
r01_ani_bir_b#0,"""バーディ"""
r01_ani_bir_yz#0,"""フランゴ"""
r01_non_dro_a#0,"""ドローム"""
r01_unk_rap_9av#0,"""セレモ・ラッピー"""
r01_gd_sol_swbo#0,"""ボムス・ソード"""
r01_gd_sol_swbold#0,"""ボムクス・ソード"""
r01_gd_sol_ribo#0,"""ボムス・ガン"""
r01_gd_sol_ribold#0,"""ボムクス・ガン"""
r01_gd_ins_ba#0,"""デストラグラス"""
r01_unk_rap_mo#0,"""ツキミ・ラッピー"""
EnemyTitleRareEnemyGti#0,"""金色の"""
EnemyTitleRareEnemySti#0,"""白銀の"""
EnemyTitleStrongEnemy#0,"""絶望の"""
EnemyTitleRegionBossEnemy#0,"""老練の"""
All#0,"""いずれかのエネミー"""
Generic#0,"""エネミー"""
God#0,"""ドールズ"""
Alter#0,"""アルターズ"""
Another#0,"""超時空"""
Animal#0,"""テイムズ"""
Natural#0,"""フォーマーズ"""
Independent#0,"""所属なし"""
SwordPA01#0,"""スパイラルエッジ"""
SwordPA02#0,"""ツイストザッパー"""
SwordPA03#0,"""ストリークキャリバー"""
WlancePA01#0,"""カッティングレイヤー"""
WlancePA02#0,"""ヴェインミクスチャー"""
WlancePA03#0,"""タービュランストレイン"""
PartisanPA01#0,"""サイズリッパー"""
PartisanPA02#0,"""スタッブジャベリン"""
PartisanPA03#0,"""フェイタルトルネード"""
TdaggerPA01#0,"""ヴァルチャーモーメント"""
TdaggerPA02#0,"""ヘルズエスコート"""
TdaggerPA03#0,"""ピルエットリッパー"""
DsaberPA01#0,"""ジュリーエンダンス"""
DsaberPA02#0,"""アンチェインサークル"""
DsaberPA03#0,"""クイックガッシュ"""
KnucklePA01#0,"""スウィフトラッシュ"""
KnucklePA02#0,"""サウザンドブロウ"""
KnucklePA03#0,"""トライドライブ"""
RiflePA01#0,"""レイジングショット"""
RiflePA02#0,"""ホーミングダート"""
RiflePA03#0,"""ブレイズショット"""
LauncherPA01#0,"""フォールンインパクト"""
LauncherPA02#0,"""フィアーイレイザー"""
LauncherPA03#0,"""マルチプルローンチ"""
MachinegunPA01#0,"""バレットレイヴ"""
MachinegunPA02#0,"""エイムレスレイン"""
MachinegunPA03#0,"""クロースバレット"""
Fire01#0,"""フォイエ"""
Fire02#0,"""ギ・フォイエ"""
Ice01#0,"""バータ"""
Ice02#0,"""ギ・バータ"""
Thunder01#0,"""ゾンデ"""
Thunder02#0,"""ギ・ゾンデ"""
WandPA01#0,"""ラピッドスマッシュ"""
WandPA02#0,"""ウェーブヒット"""
TalisPA01#0,"""パーフォレイトシュート"""
TalisPA02#0,"""スプレッドフェザー"""
KatanaPA01#0,"""ハヤテツワブキ"""
KatanaPA02#0,"""アヤメレップウ"""
KatanaPA03#0,"""フヨウテンライ"""
CompoundBowPA01#0,"""フレックスアロウ"""
CompoundBowPA02#0,"""フレンジースクイブ"""
CompoundBowPA03#0,"""ディメンショナルレイ"""
SwordPA01#1,"""“大剣（ソード）”用のフォトンアーツ。<br>回転しながら上昇し、縦方向に斬撃を放つ。<br>チャージすることで、威力が上昇する。"""
SwordPA02#1,"""“大剣（ソード）”用のフォトンアーツ。<br>回転しながら、横方向に斬撃を放つ。<br>チャージすることで、スピン回数が増加する。"""
SwordPA03#1,"""“大剣（ソード）”用のフォトンアーツ。<br>強力な一閃をくりだす。<br>発動後、さらにPAボタンを押すことで、<br>最大３回攻撃が発生する。<br>また、チャージすることで、<br>それぞれのヒット回数が増加する。"""
WlancePA01#1,"""“自在槍（ワイヤードランス）”用のフォトンアーツ。<br>前方に、広範囲の連続攻撃をくりだす。"""
WlancePA02#1,"""“自在槍（ワイヤードランス）”用のフォトンアーツ。<br>激しく回転しながら、周囲のエネミーを切り刻んだ後、<br>強力な一撃を放つ。<br>移動しながら攻撃することもできる。"""
WlancePA03#1,"""“自在槍（ワイヤードランス）”用のフォトンアーツ。<br>激しく回転しながら、縦方向の斬撃を放つ。"""
