ssc_508010_0010#0,"""……あれ？\u3000誰かと思ったら、<br><%me>か。"""
ssc_508010_0020#0,"""どうして、こんなところに？"""
ssc_508010_0030#0,"""イルマのほうこそ。"""
ssc_508010_0040#0,"""ロストセントラルに行こうと。"""
ssc_508010_0050#0,"""僕は、研究のための調査中。"""
ssc_508010_0060#0,"""ああ、安心して。<br>ロストセントラルに行くわけじゃないから。"""
ssc_508010_0070#0,"""そうなんだ。"""
ssc_508010_0080#0,"""僕は、このへんで、<br>研究用のサンプルを集めてるところ。"""
ssc_508010_0090#0,"""まあ、僕もロストセントラルの調査は<br>進めたいんだけど。"""
ssc_508010_0100#0,"""「ひとりで行くな！」って、<br>メリたちからキツく言われててさ。"""
ssc_508010_0110#0,"""その……。"""
ssc_508010_0120#0,"""この前は、<br>助けてくれてありがとうね。"""
ssc_508010_0130#0,"""バタバタしてて、<br>ちゃんとお礼が言えてなかった気がするよ。"""
ssc_508010_0140#0,"""あのときは、<br>外でそんな騒ぎになってると思ってなくて。"""
ssc_508010_0150#0,"""ジャミングで連絡もとれないし、<br>強そうなドールズが外を徘徊してたけど。"""
ssc_508010_0160#0,"""食料は準備してたし、<br>見たい資料も山のようにあったからさ。"""
ssc_508010_0170#0,"""しばらくあそこにいて、<br>隙ができたら抜け出そうかなって。"""
ssc_508010_0180#0,"""ちゃんと、メッセージを残してなかったのも、<br>悪かったよね。"""
ssc_508010_0190#0,"""ロッジの書斎で、<br>おじいちゃんのレポートを読んでたら……。"""
ssc_508010_0200#0,"""セントラルキャノンに関する<br>記述を見つけてね。"""
ssc_508010_0210#0,"""あっ、これはすごいぞって思って、<br>気づいたらあの場所に向かってたんだ。"""
ssc_508010_0220#0,"""ひとつのことに集中すると、<br>周りが見えなくなるのが、僕の悪い癖だね。"""
ssc_508010_0230#0,"""反省してます。"""
ssc_508010_0240#0,"""……でもまあ、<br>セントラルキャノンの改良のめどは立ったし。"""
ssc_508010_0250#0,"""ロストセントラル……、<br>前のセントラルシティの調査も進みそうだから……。"""
ssc_508010_0260#0,"""プラスマイナス、<br>ゼロかなって思うんだけど……どうかな？"""
ssc_508010_0270#0,"""イルマはよくやった。"""
ssc_508010_0280#0,"""絶対に許さない。"""
ssc_508010_0290#0,"""そ、そうだよね。"""
ssc_508010_0300#0,"""いやー、<br>メリにはめちゃくちゃ怒られてさぁ。"""
ssc_508010_0310#0,"""ううっ、キミもそうなのかい？"""
ssc_508010_0320#0,"""あの日、ロッジに帰ってから、<br>メリにもめちゃくちゃ怒られたんだよ……。"""
ssc_508010_0330#0,"""まあ、あれ以来、出かけるときは、<br>誰かに声をかけるようにしてるし。"""
ssc_508010_0340#0,"""帰りが遅くなるときも、<br>ちゃんと連絡するようにしてるよ。"""
ssc_508010_0350#0,"""なるべく、<br>ひとりで行動しないようにもね。"""
ssc_508010_0360#0,"""僕以外の兄妹も、昔はみんな、<br>バラバラに行動してたんだけどさ。"""
ssc_508010_0370#0,"""最近は、声かけあって、<br>一緒に出掛けていくのをよく見るよねぇ。"""
ssc_508010_0380#0,"""なんか、あの一件以来、<br>いろいろと変われた気がするよ。"""
ssc_508010_0390#0,"""というわけで！"""
ssc_508010_0400#0,"""これからは、エアリオの活動に、<br>今まで以上に肩入れしていくよ。"""
ssc_508010_0410#0,"""セントラルキャノンの開発も手伝うし、<br>ほかにもいろいろサポートしていくつもり。"""
ssc_508010_0420#0,"""それをやりとげたら、真の意味で、<br>プラスマイナスゼロってことで。"""
ssc_508010_0430#0,"""それじゃ、<br>あらためて。"""
ssc_508010_0440#0,"""これからもよろしく。"""
