name01#0,"""Astalte"""
text01#0,"""ต่อไปนี้เป็นคำถามเกี่ยวกับ Race ค่ะ"""
text02#0,"""ความรู้ของท่านสมบูรณ์แบบมากค่ะ<br>จากนี้ไปหวังว่าท่านจะใช้ความรู้ของท่าน<br>นำไปปฏิบัติภารกิจต่างๆของ ARKS ให้ดียิ่งๆขึ้นไป"""
text03#0,"""ดูเหมือนจะรู้คำตอบหมดทุกข้อเลยนะคะ<br>ถ้างั้นนี่คือรางวัลที่สามารถตอบคำถามเกี่ยวกับ Race<br>ได้ถูกต้องหมดทุกข้อค่ะ"""
text04#0,"""ท่านได้รับ [Grinder] จาก Astalte"""
text05#0,"""ถ้าหากสนใจจะตอบคำถามหัวข้ออื่นอีก<br>ขอเชิญมาได้ทุกเมื่อเลยนะคะ"""
text06#0,"""ดูเหมือนว่าความรู้ด้าน Race ของท่านจะยังไม่เพียงพอ<br>ท่านสามารถมารับการทดสอบได้ใหม่จนกว่า<br>จะสามารถตอบได้ถูกหมดทุกข้อเพื่อรับรางวัลค่ะ"""
text07#0,"""ตอบคำถามได้ถูกต้องหมดทุกข้อแล้ว<br>ทว่าหากยังรู้สึกว่ามีตรงไหนไม่เข้าใจ<br>ท่านสามารถมาฝึกตอบได้ใหม่ตลอดเวลาค่ะ"""
name01#1,"""アスタルテ"""
text01#1,"""それでは、種族に関する問題です。"""
text02#1,"""知識に問題は無いようですね。<br>今後もアークスの一員としての<br>活躍を期待しています。"""
text03#1,"""各種族に関する知識に問題なし。<br>では、こちらが種族関連問題<br>全問正解のご褒美となります。"""
text04#1,"""アスタルテから『グラインダー』を受け取りました。"""
text05#1,"""別の問題にも、興味がありましたら<br>挑戦してみてください。"""
text06#1,"""まだ各種族の知識に不安があります。<br>全問正解のご褒美も用意していますので<br>何度でも挑戦してみてください。"""
text07#1,"""まだ各種族の知識に不安がありますね。<br>以前全問正解されているようですので<br>再度復習してみてはいかがでしょうか。"""
text00#0,"""คำถามแรกเลยนะคะ"""
text07#2,"""เผ่าที่ไม่มีพลังด้านไหนโดดเด่นเป็นพิเศษ<br>แต่เป็นเผ่าที่มีพลังสมดุลทุกด้าน ซึ่งสามารถต่อสู้ได้ดี<br>แทบจะทุกสถานการณ์ เผ่าที่ว่านี้คือเผ่าอะไรคะ?"""
text01#2,"""Deuman"""
text02#2,"""Human"""
text03#2,"""Newman"""
text04#2,"""ท่านตอบผิดค่ะ"""
text08#0,"""เผ่าที่มีความสามารถสมดุลทุกด้าน สามารถปฏิบัติ<br>ภารกิจได้ดีในทุกสถานการณ์นั้นก็คือ [Human]<br>ซึ่งเป็นเผ่าพื้นฐานจากทุก ๆ เผ่าค่ะ"""
text05#2,"""ถูกต้องค่ะ<br>เผ่าที่มีความสามารถสมดุลทุกด้าน<br>ก็คือ [Human] นั่นเองค่ะ"""
text09#0,"""ลักษณะเด่นที่สามารถปรับตัวให้เข้ากับสภาวะต่าง ๆ<br>ได้ดีของ Human นั้นทำให้เป็นเผ่าที่เหมาะสมจะรับ<br>หน้าที่สำรวจดาวเคราะห์ต่าง ๆ ของ ARKS อย่างยิ่งค่ะ"""
text06#2,"""ท่านตอบผิดค่ะ"""
text10#0,"""เผ่าที่มีความสามารถสมดุลทุกด้าน สามารถปฏิบัติ<br>ภารกิจได้ดีในทุกสถานการณ์นั้นก็คือ [Human]<br>ซึ่งเป็นเผ่าพื้นฐานจากทุก ๆ เผ่าค่ะ"""
text00#1,"""一つ目の問題です。"""
text07#3,"""突出した能力は持たないものの<br>バランスがよく、あらゆる状況への<br>対応力が高い種族は、どれでしょう？"""
text01#3,"""デューマン"""
text02#3,"""ヒューマン"""
text03#3,"""ニューマン"""
text04#3,"""不正解です。"""
text08#1,"""能力のバランスに優れ、あらゆる環境に<br>適応可能な種族は「ヒューマン」。<br>全ての基礎となった種族です。"""
text05#3,"""正解です。<br>能力のバランスに優れた種族。<br>それは「ヒューマン」です。"""
text09#1,"""適応力の高さが特徴のヒューマンは<br>アークスの目的である、惑星調査に<br>もっとも適合した種族と言えます。"""
text06#3,"""不正解です。"""
text10#1,"""能力のバランスに優れ、あらゆる環境に<br>適応可能な種族は「ヒューマン」。<br>全ての基礎となった種族です。"""
text00#2,"""ต่อไปเป็นคำถามที่ 2 ค่ะ"""
text07#4,"""ถึงจะมีความสามารถทางด้านกายภาพต่ำ แต่ดูดซับ<br>Photon ไว้ในตัวได้ยาวนานและมีจุดเด่นที่สามารถใช้ <br>Photon Magic ซึ่งมีพลังรุนแรงได้ เผ่าที่ว่านี้คือเผ่าอะไรคะ"""
text01#4,"""Cast"""
text02#4,"""Deuman"""
text03#4,"""Newman"""
text04#4,"""ท่านตอบผิดค่ะ"""
text08#2,"""เผ่าที่ถึงจะมีความสามารถด้านอื่นเป็นรองแต่มีจุดเด่นที่<br>สามารถเปลี่ยน Photon ให้กลายเป็น Photon Magic<br>ที่มีพลังทำลายมหาศาลได้ นั่นก็คือ [Newman] ค่ะ"""
text05#4,"""ท่านตอบผิดค่ะ"""
text09#2,"""เผ่าที่ถึงจะมีความสามารถด้านอื่นเป็นรองแต่มีจุดเด่นที่<br>สามารถเปลี่ยน Photon ให้กลายเป็น Photon Magic<br>ที่มีพลังทำลายมหาศาลได้ นั่นก็คือ [Newman] ค่ะ"""
text06#4,"""ถูกต้องค่ะ<br>เผ่าที่สามารถดึง Photon มาเก็บไว้ในตัวได้<br>ยาวนานก็คือ [Newman] นั่นเองค่ะ"""
text10#2,"""Newman มีพื้นฐานมาจาก Human<br>เป็นเผ่าพิเศษซึ่งมีพลังจิตสูงส่งเชี่ยวชาญด้าน<br>การดึง Photon มาใช้ได้เต็มขีดจำกัดสูงสุด """
text00#3,"""二つ目の問題です。"""
text07#5,"""身体能力は脆弱ながらも、フォトンの<br>扱いに長け、特にテクニックの威力は<br>随一の種族はどれでしょう？"""
text01#5,"""キャスト"""
text02#5,"""デューマン"""
text03#5,"""ニューマン"""
text04#5,"""不正解です。"""
text08#3,"""他の追随を許さないほどの<br>高いフォトン適応力を持つ種族。<br>それは「ニューマン」です。"""
text05#5,"""不正解です。"""
text09#3,"""他の追随を許さないほどの<br>高いフォトン適応力を持つ種族。<br>それは「ニューマン」です。"""
text06#5,"""正解です。<br>テクニックの扱いに長けた種族。<br>それが「ニューマン」です。"""
text10#3,"""ニューマンは、ヒューマンを基にし<br>フォトンに対する感応力を極限まで<br>高めた、特化型の種族です。"""
text00#4,"""ต่อไปคำถามที่ 3 ค่ะ"""
text07#6,"""ถึงจะไม่ถนัดด้านการใช้ Photon แต่ร่างกายถูก<br>สร้างขึ้นจากเครื่องจักร ทำให้มีความแข็งแรง<br>ทนทานสูง เผ่าที่ว่านี้คือเผ่าอะไร"""
text01#6,"""Cast"""
text02#6,"""Newman"""
text03#6,"""Deuman"""
text04#6,"""ถูกต้องค่ะ<br>เผ่าที่มีร่างกายเป็นเครื่องจักร<br>ก็คือ [Cast] นั่นเองค่ะ"""
text08#4,"""ร่างกายของเผ่านี้สามารถเปลี่ยนชิ้นส่วนได้<br>มีความทนทานสูงในทุกสภาวะ<br>เป็นเผ่าที่เหมาะสำหรับการทำสงครามอย่างยิ่งค่ะ"""
text05#6,"""ท่านตอบผิดค่ะ"""
text09#4,"""เผ่าที่มีร่างกายแข็งแรงทนทาน ทำมา<br>จากเครื่องจักร นั่นก็คือ [Cast] ค่ะ"""
text06#6,"""ท่านตอบผิดค่ะ"""
text10#4,"""เผ่าที่มีร่างกายแข็งแรงทนทาน ทำมา<br>จากเครื่องจักร นั่นก็คือ [Cast] ค่ะ"""
text00#5,"""三つ目の問題です。"""
text07#7,"""フォトンの扱いは苦手ながらも<br>機械で構成された、屈強な肉体を持つ<br>種族はどれでしょう？"""
text01#7,"""キャスト"""
text02#7,"""ニューマン"""
text03#7,"""デューマン"""
text04#7,"""正解です。<br>機械の身体を持つ種族。<br>それが、キャストです。"""
text08#5,"""生体部分を機械に変更することで<br>過酷な状況にも耐えうる身体を持つ<br>戦闘行為に重きを置いた種族です。"""
text05#7,"""不正解です。"""
text09#5,"""機械で構成された屈強な身体の種族。<br>それは「キャスト」です。"""
text06#7,"""不正解です。"""
text10#5,"""機械で構成された屈強な身体の種族。<br>それは「キャスト」です。"""
text00#6,"""คำถามสุดท้ายนะคะ"""
text07#8,"""เป็นเผ่าที่ทนแรงปะทะได้น้อยที่สุดในทุกเผ่าแต่เป็นเผ่า<br>ที่มีพลังโจมตีสูงโดยการนำ Photon ที่มีลักษณะเฉพาะ<br>มาใช้เพิ่มทักษะการทำลาย เผ่าที่ว่านี้คือเผ่าอะไรคะ?"""
text01#8,"""Human"""
text02#8,"""Cast"""
text03#8,"""Deuman"""
text04#8,"""ท่านตอบผิดค่ะ"""
text08#6,"""เผ่าที่มี Photon ที่มีลักษณะเฉพาะมาใช้เพิ่มทักษะ<br>การทำลายเพื่อมุ่งเน้นไปที่การพิฆาตและสังหาร<br>เป้าหมายได้ในทีดียว นั่นก็คือ [Deuman] ค่ะ"""
text05#8,"""ท่านตอบผิดค่ะ"""
text09#6,"""เผ่าที่มี Photon ที่มีลักษณะเฉพาะมาใช้เพิ่มทักษะ<br>การทำลายเพื่อมุ่งเน้นไปที่การพิฆาตและสังหาร<br>เป้าหมายได้ในทีดียว นั่นก็คือ [Deuman] ค่ะ"""
text06#8,"""ถูกต้องค่ะ เผ่าที่ให้ความสำคัญ<br>กับการทำลายล้างศัตรูเป็นอันดับหนึ่งถนัดด้าน<br>การเพิ่มพลังทำลายก็คือ [Deuman] ค่ะ"""
text10#6,"""เป็นเผ่าที่มุ่งเน้นไปที่การพิฆาตและสังหารเป้าหมาย<br>ได้ในทีดียวลักษณะเด่นคือ ตาทั้งสองข้างจะ<br>คนละสีและมีเขาหนึ่งคู่อยู่บนศรีษะค่ะ"""
text00#7,"""最後の問題です。"""
text07#9,"""防御面では他種族に劣るものの<br>攻撃特化のフォトン特性を持ち<br>高い攻撃力を誇る種族はどれでしょう？"""
text01#9,"""ヒューマン"""
text02#9,"""キャスト"""
text03#9,"""デューマン"""
text04#9,"""不正解です。"""
text08#7,"""攻撃特化のフォトン特性を持つ<br>強襲や一撃必殺を目指した種族。<br>それは「デューマン」です。"""
text05#9,"""不正解です。"""
text09#7,"""攻撃特化のフォトン特性を持つ<br>強襲や一撃必殺を目指した種族。<br>それは「デューマン」です。"""
text06#9,"""正解です。<br>敵の殲滅を第一に考えられた<br>攻撃特化の種族「デューマン」。"""
text10#7,"""強襲による一撃必殺を考えた種族で<br>左右の瞳の色が異なるのと<br>額に角を持つのが特徴ですね。"""
