un_051020_0010#0,"""初代クラリスクレイス……<br>わたしの前の、伝説の三英雄……"""
un_051020_0020#0,"""いやいや、伝説ってほどじゃないよ。<br>たかだか四、五十年前の話だよ。"""
un_051020_0030#0,"""わたしはズルが得意だっただけで<br>アークス的な強さで言ったら<br>二代目ちゃんの方が上だよ、全然上。"""
un_051020_0040#0,"""それと、厳密にいえば<br>わたしはクラリスクレイスじゃないの。"""
un_051020_0050#0,"""クラリスクレイスじゃない？"""
un_051020_0060#0,"""んーとね、説明しにくいんだけど……<br>わたしの中にあったフォトンの名前が<br>クラリスクレイスなんだよね。"""
un_051020_0070#0,"""え？\u3000え？"""
un_051020_0080#0,"""あー、これでもわかりにくいよね……<br>んー……あ！\u3000そうだ、そうそう！<br>二重人格だったのよ、わたし。"""
un_051020_0090#0,"""二重……人格？"""
un_051020_0100#0,"""わたし、身体弱くて寝っぱなしでさ。<br>ヒマだったから、身体の中にあった<br>フォトンにいっつも話しかけてたんだ。"""
un_051020_0110#0,"""そしたら、それがばしーっと<br>人格もっちゃってさ。<br>最初はびっくりしたよー。"""
un_051020_0120#0,"""いや、わたしよりも<br>周りの人たちがびっくりしてたかな。<br>あの子、話し方も乱暴だったし。"""
un_051020_0130#0,"""戦闘の時とか、身体動かすの<br>おっくうで、あの子にいっつも<br>任せっきりだったんだ。"""
un_051020_0140#0,"""あの子もあの子で張り切ってて<br>その結果、クラリスクレイスって<br>名前が伝わっちゃったんだよね。"""
un_051020_0150#0,"""だからかな、ギーくんや<br>リーちゃんはわたしのことを<br>クラリスクレイス、って呼ばないの。"""
un_051020_0160#0,"""わたしは別にどっちでもいいんだけど<br>二人に悪いし、わたしのときは<br>アルマって呼んでほしいかな。"""
un_051020_0170#0,"""えっと……はい、わかりました。"""
un_051020_0180#0,"""えーっとね。<br>ついでに敬語もやめてほしいかな。"""
un_051020_0190#0,"""あ……うん、わかった。"""
un_051020_0200#0,"""それで、アルマさんの中にいる<br>初代のクラリスクレイスさんは<br>いま、どうしているの？"""
un_051020_0210#0,"""今のこの身体をわたしに譲って<br>……消えちゃった。"""
un_051020_0220#0,"""身体を、譲って……？"""
un_051020_0230#0,"""いや、ちょっと違うかも……？<br>肉体を失ったわたしの<br>新しい器になってくれた、かな。"""
un_051020_0240#0,"""つまりね、今のわたし<br>身体がクラリスクレイスで<br>心はアルマ、って感じ。"""
un_051020_0250#0,"""……クラリスクレイスさんが<br>アルマさんを守ってくれた？"""
un_051020_0260#0,"""んんー…………<br>守った守られたって考えるのは<br>あの子に失礼だと思う。"""
un_051020_0270#0,"""あの子の最後の言葉<br>「これで貸し借りなし！」<br>だったもん。"""
un_051020_0280#0,"""あっ、そうなるとわたしが<br>クラリスクレイスでもあるのか。<br>そっちで呼ばれるのにも慣れないと。"""
