text01#0,"""เฮ้ ท่านทำสำเร็จอย่างงดงามเลยนี่<br>ตามรายงานของท่านดูเหมือนจะสำเร็จงดงามไปหมด"""
text02#0,"""ถ้าท่านใช้ twin daggers ได้แบบนั้น<br>ก็คงไม่มีอะไรห่วงแล้วล่ะ"""
text03#0,"""โอ..เอาเลย ทั้งหมดนี่คือของท่าน"""
11_voice_NPC_5020_100#0,"""ไว้เจอกันใหม่นะ อย่าลืมฝึก twin daggers นั่นด้วย!"""
text100#0,"""เกี่ยวกับ [ClientOrder]"""
text101#0,"""Barbara ได้ออก Client Order<br><br>"""
text01#1,"""おう、帰還したみたいだな。<br>報告も見させてもらったが<br>なかなかどうして、いい結果じゃないか。"""
text02#1,"""これだけツインダガーを<br>使いこなせるのなら<br>もう心配することは何もないだろう。"""
text03#1,"""よし、そのツインダガーは餞別だ。"""
11_voice_NPC_5020_100#1,"""それじゃあな。<br>これからも、ツインダガーの<br>習熟に励めよ。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""バルバラにクライアントオーダーが発生しました。<br><br>バルバラはゲートエリア・中央ホールにいます。"""
