Outline_00#0,"""Waiting For Today"""
Outline_01#0,"""Waiting For Tomorrow A"""
Outline_02#0,"""Waiting For Tomorrow B"""
Outline_03#0,"""Naberian Mysteries A"""
Outline_04#0,"""Naberian Mysteries B"""
Outline_05#0,"""Across Sandy Waves A"""
Outline_06#0,"""Across Sandy Waves B"""
Outline_07#0,"""The Dragorii Disease A"""
Outline_08#0,"""The Dragorii Disease B"""
Outline_09#0,"""Beneath the Sands A"""
Outline_10#0,"""The Dragorii Keepsake A"""
Outline_11#0,"""Beneath the Sands B"""
Outline_12#0,"""The Dragorii Keepsake B"""
Outline_13#0,"""D-arker Onslaught"""
Outline_14#0,"""The Beginning of the End A"""
Outline_15#0,"""The Beginning of the End B"""
Outline_16#0,"""The Beginning of the End C"""
Outline_17#0,"""First Farewell A"""
Outline_18#0,"""First Farewell B"""
Outline_19#0,"""Last Farewell"""
Outline_20#0,"""ARKS Tournament! A"""
Outline_21#0,"""ARKS Tournament! B"""
Outline_22#0,"""ARKS Tournament! C"""
Outline_23#0,"""Unknown Road Guides the Way A"""
Outline_24#0,"""Unknown Road Guides the Way B"""
Outline_25#0,"""To Here and Ahead Again A"""
Outline_26#0,"""To Here and Ahead Again B"""
Outline_27#0,"""Beginning of the End D"""
Outline_28#0,"""Sudden Encounter A"""
Outline_29#0,"""Sudden Encounter B"""
Outline_30#0,"""There No Longer"""
Outline_31#0,"""Undersea Shivers A"""
Outline_32#0,"""Undersea Shivers B"""
Outline_33#0,"""D-arker Onslaught B"""
Outline_34#0,"""The Day of Ressurection"""
Outline_35#0,"""The Reason why I was Born"""
Outline_00#1,"""ずっとこの日を待っていた"""
Outline_01#1,"""ずっと明日を待っていた A"""
Outline_02#1,"""ずっと明日を待っていた B"""
Outline_03#1,"""不気味なナベリウス A"""
Outline_04#1,"""不気味なナベリウス B"""
Outline_05#1,"""砂塵の奥 A"""
Outline_06#1,"""砂塵の奥 B"""
Outline_07#1,"""龍の病 A"""
Outline_08#1,"""龍の病 B"""
Outline_09#1,"""砂に隠されたもの A"""
Outline_10#1,"""龍に託されたもの A"""
Outline_11#1,"""砂に隠されたもの B"""
Outline_12#1,"""龍に託されたもの B"""
Outline_13#1,"""ダーカー強襲"""
Outline_14#1,"""終わりの始まり A"""
Outline_15#1,"""終わりの始まり B"""
Outline_16#1,"""終わりの始まり C"""
Outline_17#1,"""最初の決別\u3000A"""
Outline_18#1,"""最初の決別\u3000B"""
Outline_19#1,"""最後のさよなら"""
Outline_20#1,"""アークス戦技大会！ A"""
Outline_21#1,"""アークス戦技大会！ B"""
Outline_22#1,"""アークス戦技大会！ C"""
Outline_23#1,"""意思が導く未知の道 A"""
Outline_24#1,"""意思が導く未知の道 B"""
Outline_25#1,"""いままでと、これから A"""
Outline_26#1,"""いままでと、これから B"""
Outline_27#1,"""終わりの始まり D"""
Outline_28#1,"""不意の邂逅 A"""
Outline_29#1,"""不意の邂逅 B"""
Outline_30#1,"""もうそこにいないわたし"""
Outline_31#1,"""滄海の底に、震える A"""
Outline_32#1,"""滄海の底に、震える B"""
Outline_33#1,"""ダーカー強襲\u3000B"""
Outline_34#1,"""再誕の日"""
Outline_35#1,"""わたしが生まれたその理由"""
Outline_00#2,"""EP1 ปฐมบท"""
Outline_01#2,"""EP1 บทที่ 1"""
Outline_02#2,"""EP1 บทที่ 1"""
Outline_03#2,"""EP1 บทที่ 2"""
Outline_04#2,"""EP1 บทที่ 2"""
Outline_05#2,"""EP1 บทที่ 3"""
Outline_06#2,"""EP1 บทที่ 3"""
Outline_07#2,"""EP1 บทที่ 4"""
Outline_08#2,"""EP1 บทที่ 4"""
Outline_09#2,"""EP1 บทที่ 5"""
Outline_10#2,"""EP1 บทที่ 6"""
Outline_11#2,"""EP1 บทที่ 5"""
Outline_12#2,"""EP1 บทที่ 6"""
Outline_13#2,"""EP1 บทที่ 7"""
Outline_14#2,"""EP1 บทที่ 8"""
Outline_15#2,"""EP1 บทที่ 8"""
Outline_16#2,"""EP1 บทที่ 8"""
Outline_17#2,"""EP1 บทที่ 9"""
Outline_18#2,"""EP1 บทที่ 9"""
Outline_19#2,"""EP1 บทที่ 10"""
Outline_20#2,"""EP1 side story"""
Outline_21#2,"""EP1 side story"""
Outline_22#2,"""EP1 side story"""
Outline_23#2,"""EP2 บทที่ 1"""
Outline_24#2,"""EP2 บทที่ 1"""
Outline_25#2,"""EP2 บทที่ 2"""
Outline_26#2,"""EP2 บทที่ 2"""
Outline_27#2,"""EP1 บทที่ 8"""
Outline_28#2,"""EP2 บทที่ 3"""
Outline_29#2,"""EP2 บทที่ 3"""
Outline_30#2,"""EP2 side story"""
Outline_31#2,"""EP2 บทที่ 4"""
Outline_32#2,"""EP2 บทที่ 4"""
Outline_33#2,"""EP2 บทที่ 7"""
Outline_34#2,"""EP2 บทที่ 5"""
Outline_35#2,"""EP2 บทที่ 6"""
Outline_00#3,"""EP1 序章"""
Outline_01#3,"""EP1 第１章"""
Outline_02#3,"""EP1 第１章"""
Outline_03#3,"""EP1 第２章"""
Outline_04#3,"""EP1 第２章"""
Outline_05#3,"""EP1 第３章"""
Outline_06#3,"""EP1 第３章"""
Outline_07#3,"""EP1 第４章"""
Outline_08#3,"""EP1 第４章"""
Outline_09#3,"""EP1 第５章"""
Outline_10#3,"""EP1 第６章"""
Outline_11#3,"""EP1 第５章"""
Outline_12#3,"""EP1 第６章"""
Outline_13#3,"""EP1 第７章"""
Outline_14#3,"""EP1 第８章"""
Outline_15#3,"""EP1 第８章"""
Outline_16#3,"""EP1 第８章"""
Outline_17#3,"""EP1 第９章"""
Outline_18#3,"""EP1 第９章"""
Outline_19#3,"""EP1 第１０章"""
Outline_20#3,"""EP1 外伝"""
Outline_21#3,"""EP1 外伝"""
Outline_22#3,"""EP1 外伝"""
Outline_23#3,"""EP2 第１章"""
Outline_24#3,"""EP2 第１章"""
Outline_25#3,"""EP2 第２章"""
Outline_26#3,"""EP2 第２章"""
Outline_27#3,"""EP1 第８章"""
Outline_28#3,"""EP2 第３章"""
Outline_29#3,"""EP2 第３章"""
Outline_30#3,"""EP2 外伝"""
Outline_31#3,"""EP2 第４章"""
Outline_32#3,"""EP2 第４章"""
Outline_33#3,"""EP1 第７章"""
Outline_34#3,"""EP2 第５章"""
Outline_35#3,"""EP2 第６章"""
