EndResult_Title#0,"""本次的防衛結果與戰友們"""
EndResult_Name#0,"""角色名稱"""
EndResult_Comment#0,"""<pict Comment>描述"""
EndResult__Refresh#0,"""更新"""
EndResult_CommentEdit#0,"""<pict Comment>編輯"""
EndResult_CommentEdit_Help#0,"""編輯描述"""
EndResult_GoodJob#0,"""-"""
EndResult_GoodJob_Help#0,"""送出鼓勵"""
EndResult_GoodJobAll#0,"""對全員送出鼓勵"""
EndResult_GoodJobAllFailed#0,"""沒有可以送出鼓勵的對象。"""
EndResult_Friend#0,"""-"""
EndResult_Friend_Help#0,"""送出/確認好友登錄申請"""
EndResult_FriendAll#0,"""對全員送出好友登錄申請"""
EndResult_FriendAllFailed#0,"""沒有可以送出好友登錄申請的對象。"""
EndResult_Campship#0,"""關閉"""
Record_Title#0,"""個人詳情"""
Name_Title#0,"""玩家ID名稱"""
Record_Killed#0,"""擊敗數"""
Record_Material#0,"""獲得正結晶"""
Record_Conduce#0,"""貢獻度"""
Record_Licence#0,"""代號"""
Preview#0,"""預覽"""
Record_Change#0,"""<pict Sign_TRIANGLE>切換"""
CommentEdit_Title#0,"""給戰友們的訊息"""
CommentEdit_Message#0,"""請設定顯示在「這次的防衛結果和戰友們」上的編寫描述。<br>這個描述設定會被沿用到下一次的據點防衛任務，<br>描述可以無限次數編輯修改。"""
FriendList_Confirm#0,"""可對全員送出<br>好友登錄申請。<br><br>可以附上訊息。<br>要附上以下訊息，<br>送出好友登錄申請麼？"""
Terminal_Title#0,"""$(0)據點裝置"""
Terminal_BaseTitle#0,"""$(0)防衛座"""
Terminal_Point#0,"""$(0)據點"""
Terminal_Label_1#0,"""連線內容"""
Terminal_Label_2#0,"""必要正結晶pt"""
Terminal_Use#0,"""可使用"""
Terminal_Used#0,"""已使用"""
Terminal_Back#0,"""返回"""
Terminal_MaterialPoint#0,"""$(0) ｐｔ"""
Terminal_FullTitle#0,"""$(0)據點"""
Terminal_FullBaseTitle#0,"""$(0)防衛座"""
Terminal_Help#0,"""<c f0df60>藉由蒐集正結晶PT，可以發動各式各樣用來防禦據點的功能。<c>"""
Terminal_InfoTitle#0,"""詳細資料說明"""
Terminal_CheckTitle#0,"""確認訊息"""
Terminal_CheckMessage#0,"""是否要執行$(0)？<br>"""
Terminal_ErrorMessage#0,"""目前正在使用該機能，<br>無法啓動。"""
Terminal_ErrorMessage_2#0,"""據點耐久值已是最高，<br>沒有回復耐久值。"""
Terminal_ErrorMessage_3#0,"""防衛點已經淨化，<br>沒有淨化防衛點。"""
Terminal_ErrorMessage_4#0,"""因不能使用防衛點，<br>A.I.S無法啓動。"""
Terminal_ErrorMessage_5#0,"""因不能使用防衛點，<br>無法設置裝置。"""
Terminal_BreakTitle#0,"""訊息"""
Terminal_BreakMessage#0,"""這個據點已被破壞，<br>無法連線。"""
Terminal_FinishTitle#0,"""訊息"""
Terminal_FinishMessage#0,"""任務已經結束，<br>無法連線。"""
Terminal_VehicleTitle#0,"""訊息"""
Terminal_VehicleMessage#0,"""正搭乘機器，<br>無法連線。"""
Terminal_Action_1#0,"""衝擊屏障起動"""
Terminal_Action_2#0,"""耐久值回復"""
Terminal_Action_3#0,"""A.I.S啓動"""
Terminal_Action_4#0,"""設置機槍座"""
Terminal_Action_5#0,"""設置光子粒子砲"""
Terminal_Action_6#0,"""防衛點淨化"""
Terminal_ActionInfoCommon#0,"""<c f0df60>達到$(0)pt或以上<br>才能使用。<br>(不會消耗正結晶PT)<c>"""
Terminal_ActionInfoMaterial#0,"""現在的正結晶  $(0)pt"""
Terminal_ActionInfo_1#0,"""攻擊據點周邊的敵人，<br>暫時保護據點。"""
Terminal_ActionInfo_2#0,"""回復據點耐久值。"""
Terminal_ActionInfo_3#0,"""A.I.S啓動。"""
Terminal_ActionInfo_4#0,"""在防衛點設置機槍座。"""
Terminal_ActionInfo_5#0,"""在防衛點設置光子粒子砲。"""
Terminal_ActionInfo_6#0,"""淨化被侵蝕的防衛點。"""
Result_Label_1#0,"""順位"""
Result_Label_2#0,"""角色名稱"""
Result_Label_3#0,"""貢獻度"""
Result_Label_4#0,"""Score"""
Result_Title#0,"""攻勢$(0)　成果"""
