GREET_RANGE#0,"""สวัสดี"""
GREET_SHOP_OPEN#0,"""ขอโทษที่นะ<br>ที่มีร้านเค้กอยู่ในที่แบบนี้นะ"""
GREET_SHOP_DISABLE#0,"""ขอโทษนะ<br>วันนี้ถูกจองไว้หมดแล้วอ่ะ"""
GREET_SHOP_CLOSE#0,"""ขอบคุณมามากค่า"""
GREET_RANGE#1,"""こんにちはー。"""
GREET_SHOP_OPEN#1,"""こんなところに<br>ケーキ屋があってごめんなさい。"""
GREET_SHOP_DISABLE#1,"""ごめんなさいー。<br>今日は貸し切りなんですー。"""
GREET_SHOP_CLOSE#1,"""ありがとうございましたー。"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟัง"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
