name01#0,"""Hilda"""
name02#0,"""Melita"""
name03#0,"""Brigitta"""
name01#1,"""ヒルダ"""
name02#1,"""メリッタ"""
name03#1,"""ブリギッタ"""
skit01#0,"""หยุดก่อน เราต้องแยก D-arker ที่ดูแข็งแรงออกมาก่อน"""
skit02#0,"""เราต้องวางแผนให้รัดกุม<br>เมื่อต้องต่อสู้ภายใต้สถานะการณ์แบบนี้ !!"""
skit03#0,"""อ๊ากกก!! กองกำลังทางทิศใต้กำลังจะแตกแล้ว<br>มี D-arker ขนาดใหญ่พยายามจะฝ่าเข้ามา !!"""
skit04#0,"""ข้าคิดว่าเราต้องคิดถึงการต่อสู้แบบยืดเยื้อด้วย<br>เราจะพยายามจับมัน <br>ข้าต้องการให้ท่านต่อสู้เพื่อยื้อเวลาเอาไว้"""
skit05#0,"""ข้าจะเปิดทางให้ท่านเอง !!"""
skit06#0,"""ไป ไป ไปยังส่วนลึกสุดของป้อมปราการ"""
skit01#1,"""止まれ。<br>その先には、先刻出現した<br>強力なダーカーを隔離している。"""
skit02#1,"""付近の戦況が落ち着いたところで<br>一気に殲滅する予定だが……"""
skit03#1,"""わっ、わわっ！\u3000南側の防壁に亀裂！<br>おっきな敵さんが突破しようと<br>暴れているみたいですー！"""
skit04#1,"""……流石にそう長くは持たないか。<br>すまないが、直接出向いて<br>時間を稼いでほしい。"""
skit05#1,"""防壁を開放しますので<br>その間に突入してください！"""
skit06#1,"""今です、防壁内へ<br>突入してください！"""
