ra_010650_0010#0,"""<%me><br>讓你久等了。"""
ra_010650_0020#0,"""我已經明白你的來意了。<br>這邊請。"""
ra_010650_0030#0,"""我們原本想要主動聯絡你，不過<br>因為這麼做很危險，所以<br>最後還是作罷......"""
ra_010650_0040#0,"""他已經到了哦。<br>羅傑歐先生。"""
ra_010650_0050#0,"""<%me>！<br>太好了，我們又見面的......！"""
ra_010650_0060#0,"""啊！不可以！<br>你的傷勢還沒痊癒呢！"""
ra_010650_0070#0,"""好痛......不過，真是太好了。<br><%me><br>還好你平安無事......"""
ra_010650_0080#0,"""我還以為你也被攻擊了<br>幸好並沒有。"""
ra_010650_0090#0,"""......我直接切入重點。<br>ARKS在納貝流士行星<br>肯定藏著某些秘密。"""
ra_010650_0100#0,"""他們以為我是去調查他們的秘密<br>我差點就沒命了......<br>這就是我為何會變成這樣並待在這裡的原因。"""
ra_010650_0110#0,"""不過，非常丟臉的是<br>我當時究竟是如何逃出生天的<br>完全想不起來......"""
ra_010650_0120#0,"""......不久之前，<br>渾身是傷的他，被一個<br>ARKS背著來到這裡。"""
ra_010650_0130#0,"""那個小個子的女孩<br>只說了一句『把他藏起來』<br>說完之後就消失無蹤了。"""
ra_010650_0140#0,"""至於到底發生了什麼事情<br>我完全不知道......<br>不過，我知道情況非常凶險。"""
ra_010650_0150#0,"""話說回來，對方竟然想暗中殺掉他<br>可以肯定他們一定隱藏著非常危險的秘密。"""
ra_010650_0210#0,"""A.P.238/3/29"""
ra_010660_0050#0,"""在雪原地區那一帶<br>如果真的有什麼不可告人的秘密的話<br>他們明明可以把那裡劃為禁區......"""
ra_010660_0060#0,"""不過，現在雪原地區和內陸<br>都是ARKS允許進入的區域。<br>既然如此，他們在意的到底是什麼......"""
ra_010660_0070#0,"""我想，問題恐怕出在<br>我為了地質調查而取得的<br>環境參數吧。"""
ra_010660_0080#0,"""......我在雪原的成分中<br>找到了黑暗種因子。<br>......並不是在表面，而是在很深的地方。"""
ra_010660_0090#0,"""這表示黑暗種<br>在很久以前曾經存在於納貝流士上<br>就是這麼一回事。"""
ra_010660_0100#0,"""這個事實本身其實<br>或許還不算是什麼驚人的發現吧......<br>......還有一件事。"""
ra_010660_0110#0,"""......那片雪原地區很有可能是黑暗種<br>自己製造出來的，我認為有這個可能性。"""
ra_010660_0120#0,"""那裡到底發生過什麼事、出現過什麼東西<br>我現在一點頭緒也沒有。"""
ra_010660_0130#0,"""不過，根據這個情報推測出來的假設<br>或許違反了ARKS的禁令<br>所以我才會被他們狙擊......大概是這樣吧。"""
ra_010660_0140#0,"""有能力製造出雪原的黑暗種......<br>規模如此龐大的族群......？<br>事情肯定有些蹊蹺......"""
ra_010660_0150#0,"""......不好意思，我實在想不起來。<br>我要試著繼續調查下去。"""
ra_010660_0160#0,"""A.P.238/3/30"""
