name01#0,"""ヒルダ"""
text10#0,"""回復方法についても<br>確認しておく。"""
text11#0,"""回復方法についても<br>確認しておく。<br>一時的に体力を低下させるぞ。"""
text00#0,"""回復"""
text100#0,"""モノメイトを使って回復しろ！"""
text1000#0,"""<%SubPalette1>でモノメイトを使い回復しろ！"""
text1001#0,"""<%SubPalette>でモノメイトを使い回復しろ！"""
text201#0,"""サブパレットのモノメイト（回復薬）を使用し、体力を回復せよ！"""
text202#0,"""サブパレットのモノメイト（回復薬）を使用し、体力を回復せよ！"""
text203#0,"""サブパレットの使用：<%SubPalette1>"""
text204#0,"""サブパレットの選択：<%SubPaletteLeft>、<%SubPaletteRight><br>サブパレットの実行：<%SubPalette>"""
text205#0,"""サブパレットの使用：<br>アイコンをタッチ"""
