name_7428#0,"""ユーリ"""
ssn_014770_0001#0,"""いやぁー、ここは本当に寒いねー！"""
ssn_014770_0002#0,"""でも、クヴァリスにはもっと寒くて危険な場所があるらしいんだ。<br>キミも気をつけてね。"""
ssn_014770_0101#0,"""やあ、私は先遣隊のユーリっていうんだ。<br>よろしくねー！"""
ssn_014770_0102#0,"""キミは、ここからすぐ東にある<br>レイヨルド峡江に行ったことはある？"""
ssn_014770_0103#0,"""あそこは、クヴァリスの中でも<br>とりわけ危険なところだよ。"""
ssn_014770_0104#0,"""もしも、行くつもりなら、<br>注意点を教えるけど、どうかな？"""
ssn_014770_0201#0,"""クヴァリスの“リージョンマグ”にアイテムをあげると、<br>寒さに対して強くなるご利益があるんだ。"""
ssn_014770_0202#0,"""西クヴァリスに行ってみて試してみなよ。"""
ssn_014770_0301#0,"""そっか……。"""
ssn_014770_0302#0,"""でも、そのままレイヨルド峡江に行っちゃ、<br>ぜったいにダメだからね！"""
