11_voice_NPC_5050_101#0,"""โอเค ตอนนี้ข้าได้รับรายงานของท่านแล้ว <br>แต่เรายังมองสิ่งที่ยิ่งใหญ่กว่าอยู่"""
text02#0,"""นั่นคือสิ่งที่ ARKS Code บอกให้ข้าพูด <br>แต่ข้าจะขอพูดเป็นการส่วนตัวนะ"""
text03#0,"""การไม่จำกัดการเข้าถึงฟังดูดีนะ <br>แต่มันก็ไม่สามารถรับประกันความปลอดภัยได้ <br>ความจริงแล้วท่านอาจจะเข้าสู่พื้นที่ๆอันตรายมาก"""
text04#0,"""นั่นคือเหตุผลที่ท่านต้องเตรียมตัวอยู่ตลอด"""
text05#0,"""การสำรวจอย่างอิสระจะอนุญาตให้เฉพาะ<br>ผู้ที่สามารถรับมือกับความอันตราย<br>ต่างๆ ได้เป็นอย่างดี """
text100#0,"""เกี่ยวกับ [การทำลายชิ้นส่วนของศัตรู]"""
text101#0,"""ข้อมูลเกี่ยวกับ [การทำลายชิ้นส่วนของศัตรู]<br><br>มีศัตรูอยู่บางชนิด<br>ที่บางชิ้นส่วนบนร่างกายของมันสามารถถูกทำลายได้"""
text102#0,"""อย่างเช่น [Snowbanser] และ [Snowbanshee] ที่อยู่ใน [White Summit Probe]<br>เมื่อพวกมันได้รับบาดเจ็บถึงระดับหนึ่ง<br>เขาหรือเล็บของมันก็จะถูกทำลายลง<br><br>และเมื่อชิ้นส่วนถูกทำลายแล้ว จะมีโอกาสที่จะได้รับไอเทมง่ายขึ้น<br>หรือทำให้ศัตรูตัวนั้นมีพฤติกรรมที่เปลี่ยนไปจากเดิมได้"""
text103#0,"""อย่างในกรณีของ [Snowbanser] และ [Snowbanshee]<br>หากเล็บเท้าทั้งสี่ข้างของมันถูกทำลาย จะทำให้มันเสียการทรงตัวหลังจากกระโจน<br>จนเกิดช่องโหว่อย่างสาหัส<br><br>ทำให้เราสามารถใช้ช่องโหว่นี้เพื่อทำการโจมตีกลับ หรือเติมพลังตัวเอง<br>ฉะนั้นเมื่อพบศัตรูที่ชิ้นส่วนถูกทำลายได้ จึงควรทำลายให้เร็วที่สุด"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>自由探索許可の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""自由行動と言えば聞こえがいいですが<br>安全が保証されていないエリアへ<br>立ち入ってしまう危険性もあります。"""
text04#1,"""だからこそ、準備を怠らずに<br>油断をなさらずに動いてください。"""
text05#1,"""生半可な実力では得られない許可です。<br>その意味とその意義を踏まえ、どうか<br>ご自身の身を大事に考えてください。"""
text100#1,"""『エネミーの部位破壊』について"""
text101#1,"""エネミーの部位破壊について説明します。<br><br>一部のエネミーには<br>部位破壊可能箇所を持っているものが存在します。"""
text102#1,"""「凍土探索」に出現する「スノウバンサー」と「スノウバンシー」は<br>一定ダメージを与えることで<br>角や爪といった部位を破壊することが可能です。<br><br>部位破壊を行うと、ドロップが増えるほか<br>ボスごとに特殊なリアクションを取る場合があります。"""
text103#1,"""「スノウバンサー」と「スノウバンシー」の場合は<br>前後の足の爪、４ヶ所全てを破壊すると、一部のアクション時に<br>足を滑らせるようになり、大きな隙が生まれます。<br><br>攻撃チャンスにも回復チャンスにもなるので<br>積極的に部位破壊を狙っていきましょう。"""
