name01#0,"""Astalte"""
text01#0,"""ประทับตราเรียบร้อย<br>ขอบพระคุณมากนะ"""
11_voice_shop_414#0,"""ภารกิจต่อไปคือ ClientOrder Extra Class Unlock <br>"""
text03#0,"""Class ที่จะสามารถ Unlock ได้นั้น<br>จะแตกต่างกันไปตาม Race"""
text04#0,"""สำหรับรายละเอียดนั้น ท่านสามารถสอบถาม<br>ได้จาก Cofy ในหัวข้อ <c bb0000>ข้อมูลเกี่ยวกับ<br>ใบอนุญาตสำหรับ Class ที่สามารถรับได้<c>"""
text05#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は、追加クラス解放の<br>クライアントオーダーです。"""
text03#1,"""推挙を得られた方によって<br>解放されるクラスが変わります。"""
text04#1,"""詳細は、コフィーの元へ行って<br><c bb0000>受注可能なクラス許可申請試練を<br>確認<c>してみてください。"""
text05#1,"""それでは、頑張って下さい。"""
