msq_027081_0010#0,"""あれ？\u3000この曲って……。"""
msq_027081_0020#0,"""あなたたちが、<br>“弔いの歌”と呼んでいたものね。"""
msq_027081_0030#0,"""それが、なんで……？"""
msq_027081_0040#0,"""私が、ルシエルにいた頃は、<br>毎日決まった時間に、この曲が流れていたわ。"""
msq_027081_0050#0,"""……理由はわからない。"""
msq_027081_0060#0,"""でも、おそらくリテムで語り継がれているのと、<br>同じようなことだったんだと思うわ。"""
msq_027081_0070#0,"""……え？"""
msq_027081_0080#0,"""ゼフェットは、過去のスターレスとの戦いで、<br>多くの命が失われたと言っていた。"""
msq_027081_0090#0,"""そうしたヒトたちを“弔う”ために、<br>この曲があったんじゃないかしら……。"""
msq_027081_0100#0,"""その想いを忘れないために、<br>ルシエルでも流していた……。"""
msq_027081_0110#0,"""ファリア、この曲について、<br>なにか情報は？"""
msq_027081_0120#0,"""……いえ、なにもありません。"""
msq_027081_0130#0,"""でも……。"""
msq_027081_0140#0,"""私も、マノンの意見に同意します。"""
msq_027081_0150#0,"""ここでも、ルシエルでも、<br>この曲を流し続けていた……。"""
msq_027081_0160#0,"""ゼフェットの気持ちも、<br>この曲に込められていたんだね……。"""
name010#0,"""アイナ"""
name020#0,"""マノン"""
name030#0,"""ファリア"""
