name010#0,"""アイナ"""
name020#0,"""マノン"""
name030#0,"""ルーシア"""
name040#0,"""オルタ・クロフォード"""
text010#0,"""本当に、この場にオリジナルがいないことが残念だよ。"""
text020#0,"""守るべきものとやらに縛られて何もできない、逃げ腰の司令官がね！"""
text030#0,"""違う！\u3000力を振るうことだけが、強さじゃない！"""
text040#0,"""クロフォードは、誰よりもたくさんのものを背負ってる。<br>でもだからこそ、あたしたちは、彼を信じて前に進めるの！"""
text050#0,"""誰かの命を預かる覚悟が、クロフォードの強さなのよ。<br>あなたにはわからないの？"""
text060#0,"""私は、出会って間もないけど……これだけはわかる。<br>あの人の中にあるのは、あんたみたいな薄っぺらい強さじゃない。"""
text070#0,"""あんたは、絶対に、本物のクロフォードには勝てやしない！"""
text080#0,"""……くだらない。力も、知性も、全ては僕の中にある。<br>オリジナル以上に、完璧な形でね！"""
text090#0,"""黙って、無様につぶれてろ！\u3000アークスッ!!"""
