Begin#0,"""/ci2 1 マールー開始"""
Success#0,"""/mn1 /ci2 2 マールー成功"""
Failure#0,"""/mn1 /ci2 2 マールー失敗"""
Dead#0,"""/mn1 /ci2 2 マールー自分死亡"""
BuddyDead#0,"""/mn1 /ci2 2 マールー相手死亡"""
Evolution#0,"""/mn1 /ci2 2 マールー発展"""
Begin#1,"""/mn13 /ci3 1 ……それはこっちの台詞。<br>ケーキ屋さんを探してただけなのに<br>ほんと……面倒。"""
Success#1,"""/ci1 1 ……そんなの私の勝手。<br>私はもともとケーキ屋を探してたの。<br>……それじゃ。"""
Failure#1,"""/ci1 2 ……次はもっと、上手くやるわ。"""
Dead#1,"""/ci4 1 ……もう、無理ね。<br>ケーキ、欲しかったな……"""
BuddyDead#1,"""/ci3 1 ……自業自得ね。<br>でも、きっと私も未熟だったから。"""
Evolution#1,"""/mn22 /ci1 1 ……同感。<br>思ったより面倒になってきたわね。"""
Begin#2,"""/ci1 1 ……貴方にはお節介かもしれない。<br>けど、私達だって、力になりたいの。"""
Success#2,"""/ci1 2 ……先で何が待ってるかは<br>わからない、けど忘れないで。<br>貴方はひとりじゃない。"""
Failure#2,"""……ごめんなさい……<br>また迷惑をかけてしまったわ……"""
Dead#2,"""……また、迷惑かけちゃった。"""
BuddyDead#2,"""……オーザ！"""
