Title#0,"""雨風とともに２０１８"""
Explanation#0,"""惑星ナベリウスの森林エリアにおいて<br>奇妙な声が響き渡るとともに、めまぐるしい<br>天候変動が発生しているとの報告があった。<br>同時にエネミーの凶暴化も確認されており<br>他任務への悪影響も懸念される。<br>至急現地へと赴き、異常事態の原因調査と<br>同時に可能な限りエネミーの撃退に当たれ。<br>―――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""時間内に可能な限りエネミーを撃退せよ！"""
NpcComMsg1#0,"""これより、転送を開始します。<br>今回の目的は、森林エリアにおける<br>原因不明の天候変化の調査です。"""
NpcComMsg2#0,"""報告では、降雨が確認されている間<br>通常と異なる強力な個体の出現が<br>確認されています。"""
NpcComMsg3#0,"""現在の天候は晴れですが<br>調査中に天候変化が起きることが<br>予想されます。ご注意を。"""
Area0S#0,"""森林エリア1"""
Area0L#0,"""惑星ナベリウス 森林エリア1"""
Area1S#0,"""森林エリア2"""
Area1L#0,"""惑星ナベリウス 森林エリア2"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
