TrialName_1Enemy#0,"""$(0)討伐"""
TrialBeginMsg_1Enemy#0,"""出現した$(0)を倒せ！"""
TrialAbstract_1Enemy#0,"""$(0)を倒す"""
TrialName_Multi#0,"""協調エネミー討伐"""
TrialBeginMsg_Multi#0,"""２体のエネミーを同時に倒せ！"""
TrialAbstract_Multi#0,"""エネミーを同時に倒す"""
NpcComOnForetaste#0,"""＊＊相互蘇生トライアル予兆"""
NpcComOnBegin#0,"""複数のエネミー反応を確認しました！<br>それぞれのエネミーが共鳴しているみたい。警戒してください。"""
NpcComOnBegin1#0,"""複数のエネミー反応を確認しました！<br>それぞれのエネミーが共鳴しているみたい。警戒してください。"""
NpcComOnSuccess#0,"""エネミーの殲滅を確認！<br>ありがとうございます。"""
NpcComOnSuccess1#0,"""エネミーの殲滅を確認！<br>ありがとうございます。"""
NpcComOnFailure#0,"""あらら……エネミーが撤退。<br>気を取り直して、別の目標を探しましょう。"""
NpcComOnFailure1#0,"""あらら……エネミーが撤退。<br>気を取り直して、別の目標を探しましょう。"""
NpcComOnDown#0,"""エネミーが活動を停止！<br>もう１体を狙ってください。"""
NpcComOnResurrect#0,"""エネミーが活動を再開！<br>攻撃に注意してください。"""
