name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""よし、行くぞ。<br>できるだけ多くのエネミーを撃破し<br>スコアを稼ぐのが目的だ。"""
skit02#0,"""……エネミーをたくさん倒すのが<br>この大会の目的よ。<br>……それじゃ、行きましょう。"""
skit03#0,"""ようは、目についた敵さんを全て<br>やってしまえばいいんですよねえ？<br>なあんだ、カンタンじゃないですかあ。"""
skit04#0,"""なにはともあれ、エネミーを<br>倒していけってことか。<br>よっしゃ、行こうぜ相棒。"""
skit05#0,"""よーっし、はじまりはじまりー！<br>全速力で駆け抜けるぞー！<br>速さは力！\u3000誰よりも速く！"""
skit06#0,"""……あのねパティちゃん<br>これ、エネミー撃破していかないと<br>ダメな大会なんだよ？\u3000わかる？"""
skit07#0,"""エネミーを撃破しながら進めば<br>問題ないってことね。<br>さ、行きましょうか。"""
skit01#1,"""/ci2 2 よし、行くぞ。<br>できるだけ多くのエネミーを撃破し<br>スコアを稼ぐのが目的だ。"""
skit02#1,"""/ci2 2 ……エネミーをたくさん倒すのが<br>この大会の目的よ。<br>……それじゃ、行きましょう。"""
skit03#1,"""/ci2 2 ようは、目についた敵さんを全て<br>やってしまえばいいんですよねえ？<br>なあんだ、カンタンじゃないですかあ。"""
skit04#1,"""/ci2 2 なにはともあれ、エネミーを<br>倒していけってことか。<br>よっしゃ、行こうぜ相棒。"""
skit05#1,"""/ci2 2 よーっし、はじまりはじまりー！<br>全速力で駆け抜けるぞー！<br>速さは力！\u3000誰よりも速く！"""
skit06#1,"""/ci2 2 ……あのねパティちゃん<br>これ、エネミー撃破していかないと<br>ダメな大会なんだよ？\u3000わかる？"""
skit07#1,"""/ci2 2 エネミーを撃破しながら進めば<br>問題ないってことね。<br>さ、行きましょうか。"""
