Begin#0,"""開始5087"""
Success#0,"""成功5087"""
Failure#0,"""失敗5087"""
Dead#0,"""自分死亡5087"""
BuddyDead#0,"""相手死亡5087"""
Evolution#0,"""発展5087"""
Begin#1,"""/mn15 /ci2 1 いやータイミングばっちりだね！<br>なかなか厳しい状況だったからさ！<br>ちょっと手伝ってくれないかな？"""
Success#1,"""/mn15 /ci2 1 ありがとね、助かったよ！<br>２人なら行けるかと思ったんだけど<br>少し張り切りすぎたね。"""
Failure#1,"""/mn1 あっちゃー……失敗しちゃったね。<br>貴方の足を引っ張るのもなんだし<br>大人しく撤退しよっかな。"""
Dead#1,"""ありゃりゃ、もう動けないか。<br>油断大敵ってやつだねー……"""
BuddyDead#1,"""ごめんね、イオ！<br>こっちで何とかするから！<br>無理せず休んでて！"""
Begin#2,"""/ci2 1 イオったら、張り切っちゃって。<br>でも、あたしも同じ気持ちだから<br>ちょっとお邪魔するね！"""
Success#2,"""/ci2 2 まー、大丈夫大丈夫！<br><%me>なら<br>きっとなんとかなるって。ね？"""
Failure#2,"""これ以上この娘に<br>無理はさせられないね。<br>先に帰るけど、応援はしてるからね！"""
Dead#2,"""ありゃりゃ、厳しい戦いだとは<br>思ってたけどさあ……"""
BuddyDead#2,"""イオ、張り切りすぎー。<br>気持ちはわかるけどさ<br>こういうときこそ無理は禁物だよ。"""
