name_7010#0,"""ナーデレフ"""
name_7034#0,"""ルーシア"""
msn_041070_0010#0,"""クロフォードから話は聞いている。<br>この子が、記憶を探しているという少女か。"""
msn_041070_0020#0,"""私は、ナーデレフ。<br>このリテムシティのリーダーを務めている。"""
msn_041070_0030#0,"""……ルーシアよ。よろしく。"""
msn_041070_0040#0,"""ルーシア。お前の件については、クロフォードから得た情報をもとに、<br>街の者たちにも見覚えがないか尋ねてみた。"""
msn_041070_0050#0,"""……だがあいにく、皆、お前を見たことはないそうだ。"""
msn_041070_0060#0,"""私自身、リテムの民の顔はほぼ把握しているが、やはりお前に見覚えはない。<br>せっかく足を運んでくれたのに、力になれず、すまないな。"""
msn_041070_0070#0,"""そっか……。<br>そう簡単には見つからないって、覚悟はしてたつもりだけど。"""
msn_041070_0080#0,"""自分が空っぽなんだって、改めて突きつけられるみたいで……<br>やっぱり、ちょっと堪えるわね。"""
msn_041070_0090#0,"""……空っぽ、か。"""
msn_041070_0100#0,"""お前たち、少し付き合ってくれるか？<br>彼女に、見せたい場所があるんだ。"""
msn_041070_0110#0,"""準備ができたら、南リテムの海岸に来てくれ。"""
