un_020710_0010#0,"""คุณ <%me> ถึงจะบอกว่ากำลังอยู่ระหว่าง<br>การสำรวจ แต่ก็ประมาทเกินไปแล้วนะคะ"""
un_020710_0020#0,"""ถ้าชั้นเกิดคิดเอาจริงขึ้นมา<br>เมื่อกี้คุณได้โดนเก็บไปแล้วนะคะ"""
un_020710_0030#0,"""แทนที่จะเรียกว่าการตักเตือน นี่คือการ<br>บอกให้ระวังตัวค่ะ คุณ <%me><br>คุณน่ะล้ำเส้นที่ตัวเองควรอยู่ออกมาเกินไปค่ะ"""
un_020710_0040#0,"""ถ้ามีคนที่แสดงตัวเป็นมิตรกับคุณ<br>มันก็ต้องมีคนที่คิดร้ายกับคุณอยู่ด้วย<br>......โลกมันก็แบบนี้แหละค่ะ"""
un_020710_0050#0,"""ในตอนนี้ชั้นยังไม่ได้รับ<br>คำสั่งใดๆ มา<br>เรื่องจึงจบแค่การพูดค่ะ"""
un_020710_0060#0,"""ทว่าถ้าหากเวลานั้นมาถึงเมื่อไหร่<br>คนที่จะปกป้องคุณได้ ก็มีแต่ตัวคุณเอง"""
un_020710_0070#0,"""......แต่เอาเถอะ <br>ถึงจะมีคำสั่งลงมาให้เก็บคุณจริงๆ <br>ชั้นก็คงทำเป็นไม่สนใจค่ะ"""
un_020710_0080#0,"""คุณกับชั้นคือคู่ที่ไม่ถูกโฉลกกันมากที่สุด<br>หากชั้นไม่มีความสามารถโดยกำเนิดแบบ Mai<br>ชั้นก็ไม่มีทางเอาชนะคุณได้หรอกค่ะ"""
un_020710_0090#0,"""ใช่ ถ้าแค่คุณไม่ประมาทซะอย่าง<br>คุณก็จะไม่มีทางแพ้ใครแน่นอน......<br>เพราะฉะนั้น ได้โปรดระวังตัวให้ดีด้วยค่ะ"""
un_020710_0010#1,"""<%me>さん。<br>探索中とはいえ、油断が過ぎますね。"""
un_020710_0020#1,"""わたしがその気なら<br>今の瞬間で仕留めていましたよ。"""
un_020710_0030#1,"""これは忠告、というより注意喚起です。<br><%me>さん。<br>少し、目立ちすぎているようです。"""
un_020710_0040#1,"""貴方を重用するものがいれば<br>貴方を忌避するものもいます。<br>……それが世の常です。"""
un_020710_0050#1,"""今のわたしはまだそういう指示を<br>受けていません。<br>今はまだ、言葉だけで済みます。"""
un_020710_0060#1,"""でも、そうじゃなくなったとき<br>貴方を守れるのは、貴方だけ。"""
un_020710_0070#1,"""……まあ、貴方を始末しろなんて<br>命令が下ったとしても<br>わたしは無視しますけどね。"""
un_020710_0080#1,"""わたしと貴方じゃ相性最悪です。<br>マイの先天能力の効果もないんじゃ<br>勝ち目がありません。"""
un_020710_0090#1,"""そう、貴方は油断さえしなければ<br>たぶん誰にも負けないはず……<br>だから、気をつけてください。"""
