un_064080_0001#0,"""A.P.242/3/20/10:00"""
un_064080_0010#0,"""ストラトス……<br>さっきから、そわそわしてますの。<br>この先に、何かありますの？"""
un_064080_0020#0,"""だ、誰も待ってなんかいませんよ！<br>さあ、任務を進めましょう！"""
un_064080_0030#0,"""はっ……！"""
un_064080_0040#0,"""なっ……！？"""
un_064080_0050#0,"""……キョーくん！？<br>あ、危ないじゃないですか……！<br>怪我したら、どうするんです！"""
un_064080_0060#0,"""……黙れ。<br>奴をおびき寄せてくれたことには<br>感謝するが……もう、用はない。"""
un_064080_0070#0,"""な、なにを言ってるんですか？<br>ルコットと、仲直りするんですよね？"""
un_064080_0080#0,"""クッキーのこと、ごめんって……<br>本当は戻ってきてくれて嬉しいって……<br>伝えるんでしたよね？"""
un_064080_0090#0,"""嘘、だったんですか……？"""
un_064080_0100#0,"""ククク……忘れたか？<br>《亡霊》は、目的を叶えるためなら<br>どんな手でも使う……覚えておけ。"""
un_064080_0110#0,"""ルコット……<br>お前には、洗いざらい話してもらうぞ。<br>隠していることも、すべてだ。"""
un_064080_0120#0,"""……っ。"""
un_064080_0130#0,"""やめてください！<br>ルコットが、戻って来てくれた……<br>私は、それだけで充分なんです！"""
un_064080_0140#0,"""黙れと言ったはずだ。<br>さあ、ルコットよ。語るがいい……<br>俺たちを裏切った……その理由を！"""
un_064080_0150#0,"""……言えませんの。"""
un_064080_0160#0,"""……やはり、こうなるか。"""
un_064080_0170#0,"""やむを得まい……<br>俺は、俺のやり方でやらせてもらう。<br>真実の扉よ、いざ開かれん……！"""
un_064080_0180#0,"""ハッ！"""
un_064080_0190#0,"""ぐっ……！"""
un_064080_0200#0,"""キョー……さんっ……！"""
un_064080_0210#0,"""<%me>さん！<br>キョーくんを止めないと！"""
un_064080_0220#0,"""ど、どうして……！？"""
un_064080_0230#0,"""これが、キョーくんのやり方……？<br>見届けろって、言うんですか？"""
un_064080_0240#0,"""でも、でも！<br>ルコットが……！"""
un_064080_0260#0,"""ハァッ！"""
un_064080_0270#0,"""ハッ！"""
un_064080_0280#0,"""くっ！"""
un_064080_0290#0,"""ううっ！"""
un_064080_0300#0,"""きゃっ……！"""
un_064080_0310#0,"""はあああっ……！"""
un_064080_0320#0,"""ううううっ……"""
un_064080_0330#0,"""ご、ごめんなさいですの！<br>怒らせてしまったのなら<br>謝りますから……！"""
un_064080_0340#0,"""謝る必要はない。<br>どうあろうと、俺は力尽くで<br>お前から真実を聞き出す。"""
un_064080_0350#0,"""やめてください、キョーくん！<br>こんなの、みんな傷つくだけです！"""
un_064080_0360#0,"""ストラトス……<br>傷つくことを、恐れるな。<br>傷つけることを、恐れるな。"""
un_064080_0370#0,"""真実に傷つき、傷つけられても……<br>やがて傷は癒え、より強い絆を結ぶ。"""
un_064080_0380#0,"""キョー……さん……"""
un_064080_0390#0,"""お前が語らない理由……<br>それはおそらく、残酷な真実から<br>俺たち三人を守るためだろう。"""
un_064080_0400#0,"""だが、お前たちは間違っている。<br>語らずして解り合えるはずもない……<br>自分たちを、もっと信じたらどうだ！"""
un_064080_0410#0,"""キョーくん……その通りです。<br>ルコ！\u3000私たちを、信じましょう！"""
un_064080_0420#0,"""私たちは、仲間じゃないですか！<br>話してくれない方が……つらいです。"""
un_064080_0430#0,"""で、でも……言えませんの！<br>これだけは……どうしても……！"""
un_064080_0440#0,"""クッ……何故だ！？<br>いい加減……教えてくれ！"""
un_064080_0450#0,"""俺たちを屋敷に閉じ込め<br>火を放った、その理由を！！"""
un_064080_0460#0,"""……えっ！？"""
un_064080_0470#0,"""ルコ……！"""
un_064080_0480#0,"""しまった！"""
un_064080_0490#0,"""お屋敷に、閉じ込められ……<br>火を……？"""
un_064080_0500#0,"""どうした……？<br>お前がやったことだ、知らないとは……"""
un_064080_0510#0,"""知りませんの！<br>どういうことですの、キョーさん！"""
un_064080_0520#0,"""あの日、いったい何がありましたの！？"""
un_064080_0530#0,"""莫迦……な……<br>お前、本当に……知らないのか……？"""
un_064080_0540#0,"""だってだって！<br>わたくしは、二人をおもてなししようと<br>あのお屋敷に招待しただけで……！"""
un_064080_0550#0,"""ルコ、ぜんぶ話してください！<br>私たちをお屋敷に呼び出した、あの日……<br>何があったのかを！"""
un_064080_0560#0,"""で、ですが……"""
un_064080_0570#0,"""お願いします！<br>私たちを、信じてください！"""
un_064080_0580#0,"""どんなことを聞いたって<br>私たちはルコを嫌ったりしませんし<br>ルコを、信じ続けますから！"""
un_064080_0590#0,"""マスター……<br>わ、わたくし……どうすれば……"""
un_064080_0600#0,"""自分が思うようにすればいい"""
un_064080_0610#0,"""二人を信じればいい"""
un_064080_0620#0,"""自分が、思うように……"""
un_064080_0630#0,"""二人を、信じる……"""
un_064080_0640#0,"""……わかりましたの。<br>すべて、お話しますわ。"""
un_064080_0650#0,"""ルコット……<br>はい、何でも話してください！"""
un_064080_0660#0,"""やれやれ、世話が焼ける……"""
un_064080_0670#0,"""ストラトス……キョーさん……"""
un_064080_0680#0,"""わたくしを……<br>嫌いに……ならないで……"""
