IncidentName#0,"""幻創戦艦・大和を撃退せよ！"""
TrialBeginMsg#0,"""制限時間内に幻創戦艦・大和を撃退せよ！"""
TrialAbstract#0,"""制限時間内に幻創戦艦・大和を撃退せよ！"""
NpcComOnBegin#0,"""緊急通達です！強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#0,"""敵性反応、消失確認！<br>お見事です！"""
HP_Under_50#0,"""$(0)残存体力、低下！"""
HP_Under_10#0,"""$(0)残存体力、あとわずかです！"""
NpcComOnBeginNext#0,"""……大和の周囲にバリアを確認！<br>攻撃が通らないみたいです。<br>でも、必ずどこかに弱点があるはず"""
NpcComOnBreakBarrier#0,"""大和を覆っていたバリアーがはがれたみたいです！ <br>一気に攻め込んでください！"""
NpcComOnDeathblow#0,"""戦艦大和から高エネルギー反応を確認！ <br>何か起こるみたいです、注意してください！"""
NpcComOnBegin#1,"""緊急通達です！強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#1,"""敵性反応、消失確認！<br>お見事です！"""
HP_Under_50#1,"""$(0)残存体力、低下！"""
HP_Under_10#1,"""$(0)残存体力、あとわずかです！"""
NpcComOnBeginNext#1,"""……大和の周囲にバリアを確認！<br>攻撃が通らないみたいです。<br>でも、必ずどこかに弱点があるはず"""
NpcComOnBreakBarrier#1,"""大和を覆っていたバリアーがはがれたみたいです！ <br>一気に攻め込んでください！"""
NpcComOnDeathblow#1,"""戦艦大和から高エネルギー反応を確認！ <br>何か起こるみたいです、注意してください！"""
NpcComOnBegin#2,"""緊急通達です！強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#2,"""敵性反応、消失確認！<br>お見事です！"""
HP_Under_50#2,"""$(0)残存体力、低下！"""
HP_Under_10#2,"""$(0)残存体力、あとわずかです！"""
NpcComOnBeginNext#2,"""……大和の周囲にバリアを確認！<br>攻撃が通らないみたいです。<br>でも、必ずどこかに弱点があるはず"""
NpcComOnBreakBarrier#2,"""大和を覆っていたバリアーがはがれたみたいです！ <br>一気に攻め込んでください！"""
NpcComOnDeathblow#2,"""戦艦大和から高エネルギー反応を確認！ <br>何か起こるみたいです、注意してください！"""
NpcComOnBegin#3,"""緊急通達です！強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#3,"""敵性反応、消失確認！<br>お見事です！"""
HP_Under_50#3,"""$(0)残存体力、低下！"""
HP_Under_10#3,"""$(0)残存体力、あとわずかです！"""
NpcComOnBeginNext#3,"""……大和の周囲にバリアを確認！<br>攻撃が通らないみたいです。<br>でも、必ずどこかに弱点があるはず"""
NpcComOnBreakBarrier#3,"""大和を覆っていたバリアーがはがれたみたいです！ <br>一気に攻め込んでください！"""
NpcComOnDeathblow#3,"""戦艦大和から高エネルギー反応を確認！ <br>何か起こるみたいです、注意してください！"""
NpcComOnBegin#4,"""Ａ.Ｉ.Ｓ各機に通達！<br>急ぎ『大和』を破壊してください！"""
NpcComOnSuccess#4,"""『大和』の撃沈を確認！ <br>お見事です！"""
HP_Under_50#4,"""『大和』の損傷、拡大しています！"""
HP_Under_10#4,"""あともう一息です！\u3000頑張って！ """
NpcComOnBeginNext#4,"""『大和』のバリア展開を確認！<br>側面部分にエネルギーが集中しています <br>そこを狙ってください！"""
NpcComOnBreakBarrier#4,"""『大和』のバリア解除を確認！<br>一気に攻め込んでください！"""
NpcComOnDeathblow#4,"""『大和』に高エネルギー反応！ <br>強力な攻撃がきます！ <br>気をつけてください！"""
NpcComOnBeginNextNoBarrier#0,"""すでに目標の武装が起動しています！<br>気をつけてください！"""
NpcComOnChangeShin#0,"""これは……目標の変化を確認！<br>攻撃手段が増えています。<br>注意してください！"""
