un_012180_0010#0,"""啊，你好。<br>哦，你希望簽名在什麼地方呢？"""
un_012180_0020#0,"""不是喔？\u3000那不要隨隨便便<br>跑來找人家說話啦。"""
un_012180_0030#0,"""......啊，不是啦，對不起嘛！<br>人家不是嫌棄你什麼的啦！<br>只是怕容易被發現而已！"""
un_012180_0040#0,"""......不要一副這傢伙在說什麼的表情咩。"""
un_012180_0050#0,"""不是四周的人沒有發現，<br>而是人家故意不讓四周發現啦！"""
un_012180_0060#0,"""不然的話，<br>這附近會立刻變成<br>大排長龍的簽名會場耶？"""
un_012180_0070#0,"""所以說，要找人家說話<br>麻煩小心點啦！<br>好啦，再見囉！"""
un_012180_0080#0,"""A.P.238/4/2"""
un_012180_0010#1,"""あ、こんちわ。<br>何、どれにサインしてほしいの？"""
un_012180_0020#1,"""違うの？\u3000じゃあそんな気安く<br>話しかけてこないでよ。"""
un_012180_0030#1,"""……あっ、いや、ご、ごめん！<br>嫌いとかそういうワケじゃないの！<br>バレやすくなっちゃうから！"""
un_012180_0040#1,"""……何言ってんだこいつって顔すんな。"""
un_012180_0050#1,"""周りにバレてないんじゃなくて<br>周りにバレないようにしてるの！"""
un_012180_0060#1,"""そうしないと、このあたりに<br>サイン求める大行列が<br>出来上がっちゃうでしょ？"""
un_012180_0070#1,"""ということで、話しかける時は<br>気をつけるように！<br>はい、さよなら！"""
un_012180_0080#1,"""A.P.238/4/2"""
