un_020200_0010#0,"""はーいはいはい<br>パティちゃんでーす！"""
un_020200_0020#0,"""今日もまた、仕入れたばかりの<br>新鮮な情報を提供しちゃうよー！<br>タダだよタダだよ寄っといでー！"""
un_020200_0030#0,"""……私、最近独立した方が<br>いいんじゃないかって思ってきた。<br>情報屋の意味がないよね、これ。"""
un_020200_0040#0,"""どうも、ティアです。<br>説明するまでもなく<br>調べたのは私です。"""
un_020200_0050#0,"""こらこらティア、けちくさいこと<br>言っちゃダメだってー。"""
un_020200_0060#0,"""情報は、伝えていってこそ<br>価値が生まれる物なんだからね。"""
un_020200_0070#0,"""さって、今回は……いや、今回も<br>創世器について調べちゃいました！"""
un_020200_0080#0,"""この前調べたクラリッサのことが<br>思ったより面白かったからねー。"""
un_020200_0090#0,"""ターゲットは……そう。<br>かのレギアスが所有する、世果！"""
un_020200_0100#0,"""レギアスが振り回してる<br>どでかい箱みたいな武器！"""
un_020200_0110#0,"""ソードだと思った？<br>残念、カタナでした！"""
un_020200_0120#0,"""今までレギアスだけ使ってた<br>新しい武器種なんだってー！"""
un_020200_0130#0,"""正しく言うと、レギアスは<br>世果を牽制目的で持ち歩くため<br>本当の力を封印してるんだって。"""
un_020200_0140#0,"""さらに、武器種を改変登録し<br>無理矢理ソードとして使用することで<br>丁度良いぐらいになる、と。"""
un_020200_0150#0,"""本来の姿は誰も知らない。<br>抜いたが最後。世が終わる。<br>だから銘が世果。"""
un_020200_0160#0,"""こ、誇大広告はよくないんだぞー……<br>なんだかもー、惑星の一つぐらい<br>ぶった切っちゃいそうな勢いだね。"""
un_020200_0170#0,"""まったく、誰だ誰だー！<br>そんなぶっそうなの作ったのはー！"""
un_020200_0180#0,"""……ほんと、誰なんだろう。<br>ちょっと気になるかな。"""
