msc_010190_0010#0,"""まさか……、こんなことになるなんて……。"""
msc_010190_0020#0,"""何があった？"""
msc_010190_0030#0,"""アイナは？"""
msc_010190_0040#0,"""ガロアたちは？"""
msc_010190_0050#0,"""あの巨大なドールズの攻撃を受けて、<br>私たちはしばらく気を失っていたみたい……。"""
msc_010190_0060#0,"""ドールズたちは、いなくなってたわ。<br>でも、エアリオタウンはもう……。"""
msc_010190_0070#0,"""アイナは……。<br>私たちよりも重傷で……。"""
msc_010190_0080#0,"""少し前に、セントラルシティから来たアークスが、<br>治療のためメディカルセンターに運んでいったわ。"""
msc_010190_0090#0,"""先ほどまで、セントラルシティの<br>アークスたちが、捜索をしていたけれど……。"""
msc_010190_0100#0,"""今のところ、生存者は見つかってないわ……。"""
msc_010190_0110#0,"""いつまでも、ここにいるわけにもいかないわね。<br>私たちも、セントラルシティに向かいましょう。"""
