name_7237#0,"""Leso"""
ssn_014950_0001#0,"""Agh, it's a cold one today..."""
ssn_014950_0002#0,"""Oh? You... You seem like you know how to handle yourself, now that I look at you."""
ssn_014950_0003#0,"""I'm interested to see just how strong you are. I hope I can get you to show me how skilled you are one day."""
ssn_014950_0101#0,"""Hello... I'm the vanguard's quartermaster. You can call me Leso."""
ssn_014950_0102#0,"""Hehehe... You look very strong."""
ssn_014950_0103#0,"""You know... we have a policy here that says the strongest ARKS get priority for receiving new materials."""
ssn_014950_0104#0,"""I'd like to test your abilities... to see if you fit that bill."""
ssn_014950_0201#0,"""I'll be counting on you to take out those Crocodallus in Northern Kvaris..."""
ssn_014950_0201_001#0,"""Please take out those Crocodallus..."""
ssn_014950_0201_002#0,"""They can usually be found in Bergana Ruins..."""
ssn_014950_0202#0,"""I will be watching very intently... to see how you defeat these enemies."""
ssn_014950_0301#0,"""I see... Whenever you can, then..."""
ssn_014950_0401#0,"""I see you were able to return. Good work out there..."""
ssn_014950_0402#0,"""I had a look at the combat data you sent back."""
ssn_014950_0403#0,"""Astounding. I could hardly take my eyes off of the fight..."""
ssn_014950_0404#0,"""You've passed the first test, and with flying colors."""
ssn_014950_0405#0,"""Let's move on to the next test..."""
ssn_014950_1001#0,"""Alright... let's continue with your provision qualification test..."""
ssn_014950_1002#0,"""The procedure will be the same as before... Let me know when you're ready and we'll begin."""
ssn_014950_1101#0,"""Your next target will be Equalizing Enemies."""
ssn_014950_1102#0,"""In Kvaris, they can be found in places like Bergana Ruins and Lost Central..."""
ssn_014950_1103#0,"""Of course, if you want to look for them in other regions, that'll work too."""
ssn_014950_1201#0,"""I see... That's really too bad..."""
ssn_014950_1301#0,"""I see you were able to return. Good work out there..."""
ssn_014950_1302#0,"""I've finished reviewing your combat data as well."""
ssn_014950_1303#0,"""I could watch your fights over and over again for hours and not get bored... You're really something else..."""
ssn_014950_1304#0,"""You've passed the test, of course. You are cleared to receive priority goods and services..."""
ssn_014950_1305#0,"""However, that doesn't mean you can have anything you want for free..."""
ssn_014950_1306#0,"""You will have to provide certain items in exchange for what you want..."""
ssn_014950_1307#0,"""If there's anything that interests you, please do let me know..."""
ssn_014950_1308#0,"""And well, I would be happy if you let me watch you fight every now and then..."""
ssn_014950_1309#0,"""See you around..."""
