msc_020250_0010#0,"""あれは……ドールズ？"""
msc_020250_0020#0,"""ハルファの地下にもあったやつだ。"""
msc_020250_0030#0,"""でも、こんなにたくさん……。"""
msc_020250_0040#0,"""ここが、ドールズの製造施設……ってことだよね。"""
msc_020250_0050#0,"""マノン！\u3000いたら返事して！"""
msc_020250_0060#0,"""よくぞ来た。909……。"""
msc_020250_0070#0,"""あなたがゼフェット!?"""
msc_020250_0080#0,"""キミがアイナか……。"""
msc_020250_0090#0,"""第三世代の909だけでなく、<br>第二世代がここまで成長するとは……。"""
msc_020250_0100#0,"""マノンはどこ!?"""
msc_020250_0110#0,"""マノン!!"""
msc_020250_0120#0,"""ここまで来い。待っているぞ……。"""
msc_020250_0130#0,"""マノンをどうするつもり!?\u3000ゼフェット！"""
msc_020250_0140#0,"""どうしよう……マノンが。<br>あの場所はどこなの……？"""
msc_020250_0150#0,"""わからない。"""
msc_020250_0160#0,"""とにかく前に進もう。"""
msc_020250_0170#0,"""ごめん、そうだよね。"""
msc_020250_0180#0,"""とにかく、進むしかない。"""
msc_020250_0190#0,"""そうだね……。"""
name01#0,"""？？？"""
