Title#0,"""解き放たれし鋼鉄の威信"""
Explanation#0,"""在行星・地球的日本近海<br>確認到了巨大的幻創種的反應。<br>幻創種開始入侵都市區域。<br>如果就這樣放置不管的話<br>預測現實世界會出現大面積的被害情況。<br>ARKS的各位請火速去到現場<br>撃破目標，停止此次入侵。<br>――――――――――――――――――――<br>任務可完成次數/$(0)次<br>失敗條件/超過限制的時間"""
SimpleExplanation#0,"""撃退幻創戦艦・大和！"""
a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
NpcComMsg1#0,"""接下來開始對太平洋特定海域檢測到的<br>超巨大反應的迎撃作戰。"""
NpcComMsg2#0,"""首先，封住目標的移動手段。<br>出撃後使用Ａ．Ｉ．Ｓ運送新型凍結彈<br>將目標連同附近的海域凍結。"""
NpcComMsg3#0,"""在這之後，請一鼓作氣撃破目標。<br>但是，從目標的武裝状況來判斷<br>會有一定程度的反撃……請注意。"""
NpcComMsg1#1,"""目標進入飛行状態。<br>在接近都市區域前，<br>必須盡快撃破目標。"""
NpcComMsg2#1,"""請運用A.I.S的新装備「ハイブースト」<br>接近目標，並且將之撃破。<br>祝大家一路順風，武運昌盛！"""
Area0S#0,"""日本近海"""
Area0L#0,"""行星・地球\u3000日本近海"""
Area1S#0,"""日本近海"""
Area1L#0,"""行星・地球\u3000日本近海"""
