un_020450_0010#0,"""唔......啊，是你啊。<br>能不能聽我說幾句話呢。"""
un_020450_0020#0,"""......我說的話也許不好解釋，<br>但我是不是做出了什麼<br>讓別人感到皺眉頭的行為啊？"""
un_020450_0030#0,"""總覺得最近認識的人<br>一直在躲著我......"""
un_020450_0040#0,"""不，出任務在一起的時候<br>沒有什麼問題。<br>不是這樣......"""
un_020450_0050#0,"""如果是我太敏感的話還好......<br>但是，看那傢伙的表情<br>就是覺得做作......"""
un_020450_0060#0,"""就算是想要改過，<br>不知道原因也不成啊。"""
un_020450_0070#0,"""......啊啊，煩吶！<br>真是的，術士真麻煩！"""
un_020450_0080#0,"""哪邊看不過去，<br>直接講出來不就得了！"""
un_020450_0010#1,"""む……ああ、お前か。<br>少し、話を聞いてくれないか。"""
un_020450_0020#1,"""……伝え方が難しいんだが<br>オレは、何か他人の気に障るような<br>真似をしていただろうか？"""
un_020450_0030#1,"""なんだか最近、知り合いに<br>避けられているような気がしてな……"""
un_020450_0040#1,"""いや、任務などで一緒の場合は<br>特に問題はないんだ。<br>そうではなく……"""
un_020450_0050#1,"""オレの気のせいならいいんだが……<br>だがしかし、あいつの表情は<br>いやにぎこちなく見える……"""
un_020450_0060#1,"""己の行いを正そうにも、原因が<br>わからないのでは、な。"""
un_020450_0070#1,"""……ああ、もう！<br>まったく、フォースは面倒だ！"""
un_020450_0080#1,"""気に入らないことがあるのなら<br>さっさと口で言えばいいだろうに！"""
