text00#0,"""เกี่ยวกับ [QuestPoint]"""
text01#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด D-arkers ดังต่อไปนี้<br><br>Dagan: 3 points"""
text02#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด D-arkers ดังต่อไปนี้<br><br>Krada: 2 points"""
text03#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด D-arkers ดังต่อไปนี้<br>Carthago: 4 points"""
text04#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด D-arkers ดังต่อไปนี้<br>Briada: 5 points"""
text05#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด D-arkers ดังต่อไปนี้<br><br>El Arda: 3 points<br><br>และถ้าหากสามารถค้นหาและกำจัด D-arkers<br>ที่แข็งแกร่งซึ่งนอกเหนือจากนี้ลงได้<br>ท่านจะได้รับ QuestPoint จำนวนมากเป็นการตอบแทน"""
text00#1,"""『クエストポイント』について"""
text01#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ダガン\u30003PT"""
text02#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>クラーダ\u30002PT"""
text03#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>カルターゴ\u30004PT"""
text04#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ブリアーダ\u30005PT"""
text05#1,"""以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・アーダ\u30005PT<br><br>また、上記以外にも強力なダーカーエネミーの<br>存在が確認されており、それらを発見し撃破すれば、<br>大量のクエストポイントを獲得することもできます。"""
