un_043010_0010#0,"""喲，前輩。<br>……呃，欸，那邊那位是？"""
un_043010_0020#0,"""啊，初次見面。<br>我叫火継。這邊這位是阿有。<br>你是……？"""
un_043010_0030#0,"""我叫伊歐。<br>不用客氣，直呼名字就行。<br>火継你們為什麼會和前輩在一起？"""
un_043010_0040#0,"""這個嘛，畢竟受了<%me><br>很多照顧……"""
un_043010_0050#0,"""受了很多照顧？啊我懂了<br>是跟前輩被捲進的麻煩事有關吧。"""
un_043010_0060#0,"""原來這麻煩事都傳開了呀……<br>我倒是也沒法否定就是了。"""
un_043010_0070#0,"""這事火継你們沒必要在意。<br>前輩這人，本來就容易攤上各種麻煩事。"""
un_043010_0080#0,"""你說是不是，前輩？"""
un_043010_0090#0,"""才沒這回事"""
un_043010_0100#0,"""我沒覺得麻煩過"""
un_043010_0110#0,"""好吧，畢竟事情最後總歸會得到解決<br>所以可能你本人是這麼覺得的吧<br>但周圍的人可都很擔心你哦。"""
un_043010_0120#0,"""……也是啊。<br>前輩你畢竟就是這種人嘛。"""
un_043010_0130#0,"""雖然我們總在說<br>要是感覺為難，就多來依靠一下我們<br>可前輩這人，老是想著自己一個人去解決。"""
un_043010_0140#0,"""……自己一個人解決<br>不好嗎？"""
un_043010_0150#0,"""也不是說不好吧。<br>就是希望前輩別那麼逞強。<br>還有就是，希望也多信賴一下我們？"""
un_043010_0160#0,"""別老自己一個人逞強，能依賴別人的時候<br>就坦率地依賴一下。朋友不就是為此而存在的嘛？<br>……你說是不是，前輩？"""
un_043010_0170#0,"""不過，不管我怎麼說<br>前輩肯定還是會堅定自己的立場不會變的。"""
un_043010_0180#0,"""所以，我們也只好配合著這立場<br>去想想怎麼幫上前輩才行了。<br>……這部分嘛，習慣就好。"""
un_043010_0190#0,"""……原來<%me><br>也這麼倔的嘛？"""
un_043010_0200#0,"""前輩這人，可倔頭強腦了。只要前輩是決定了的事情，就決不會動搖。<br>你想不想聽聽，【深遠之暗】的復活<br>和救出瑪托依小姐那時候的經過？"""
