Title#0,"""雪原地域狀況調查"""
Explanation#0,"""此次委託的目的為收集納貝流士行星雪原地域<br>現況的資料。<br>該地也經常有凶暴化原生種等危險因子出沒，<br>希望能同時進行討伐作業。<br>和森林地區相比，強悍的原生種數量較多，<br>凶暴化的個體也不在少數。<br>調查時請注意特別提高警覺。<br>――――――――――――――――――――<br>得到【100】任務點數就算成功<br>主要在擊破原生種時可獲得追加點數"""
Title#1,"""凍土地域状況調査"""
Explanation#1,"""惑星ナベリウスに広がる凍土の<br>現在状況のデータ収集を依頼したい。<br>原生種の凶暴化なども頻繁に確認されて<br>いるため、その討伐も兼ねている。<br>森林に比べ、屈強な原生種が多く<br>凶暴化したものが多いという情報もある。<br>十分に注意して調査を行え。<br>――――――――――――――――――――<br>クエストポイント【100】達成でクリア<br>主に原生種の撃破でポイント獲得"""
SimpleExplanation#0,"""擊退原生種<br>獲得任務點數！"""
SimpleExplanation#1,"""原生種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
