Npc44_01_010#0,"""เพราะมี ARKS คนอย่างชั้นถึงได้<br>อยู่อย่างสุขสบายแบบทุกวันนี้<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_01_010#1,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_02_010#0,"""เพราะมี ARKS คนอย่างชั้นถึงได้<br>อยู่อย่างสุขสบายแบบทุกวันนี้<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_02_010#1,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_03_010#0,"""เพราะมี ARKS คนอย่างชั้นถึงได้<br>อยู่อย่างสุขสบายแบบทุกวันนี้<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_03_010#1,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_04_010#0,"""ARKS ไม่ใช่มูลนิธิเพื่อการกุศลชั้นก็รู้<br>เวลาขอร้องพวกเขาทำอะไร <br>จึงตอบแทนให้อย่างสมน้ำสมเนื้ออยู่แล้ว"""
Npc44_04_020#0,"""แต่เมื่อก่อนก็เคยขอให้พวกเค้าทำอะไรให้ฟรีๆน่ะนะ<br>ยังรู้สึกผิดมาจนถึงทุกวันนี้"""
Npc44_04_010#1,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_04_020#1,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_05_010#0,"""ARKS ไม่ใช่มูลนิธิเพื่อการกุศลชั้นก็รู้<br>เวลาขอร้องพวกเขาทำอะไร <br>จึงตอบแทนให้อย่างสมน้ำสมเนื้ออยู่แล้ว"""
Npc44_05_020#0,"""แต่เมื่อก่อนก็เคยขอให้พวกเค้าทำอะไรให้ฟรีๆน่ะนะ<br>ยังรู้สึกผิดมาจนถึงทุกวันนี้"""
Npc44_05_010#1,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_05_020#1,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_06_010#0,"""ARKS ไม่ใช่มูลนิธิเพื่อการกุศลชั้นก็รู้<br>เวลาขอร้องพวกเขาทำอะไร <br>จึงตอบแทนให้อย่างสมน้ำสมเนื้ออยู่แล้ว"""
Npc44_06_020#0,"""แต่เมื่อก่อนก็เคยขอให้พวกเค้าทำอะไรให้ฟรีๆน่ะนะ<br>ยังรู้สึกผิดมาจนถึงทุกวันนี้"""
Npc44_06_010#1,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_06_020#1,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_07_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาวพื้น<br>เมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_07_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_07_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_07_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
