name_7303#0,"""ノアン"""
ssn_019435_002_0010#0,"""来てくれて、ありがとうございます！<br>早速、さっきの話の続きなのです。"""
ssn_019435_002_0020#0,"""装備開発部で作っていた特殊装備が、<br>ネコさんに持ち去られてしまったそうなのです。"""
ssn_019435_002_0030#0,"""装備品を返してもらうため、みんなで<br>そのいたずらネコさんを探しているのです。"""
ssn_019435_002_0040#0,"""エアリオの地形に詳しいあなたにも、<br>ぜひ、協力をお願いしたいのです！"""
ssn_019435_002_0050#0,"""いろんなところで、目撃情報があるのです。<br>それを頼りに探しましょう！"""
ssn_019435_002_0060#0,"""まずは、エアリオタウン跡の近く！"""
ssn_019435_002_0070#0,"""タウン跡を見下ろす、ソーラーパネルの付いた塔。<br>その塔の上に、いたずらネコさんっぽい子がいるようです！"""
ssn_019435_002_0080#0,"""よろしくお願いします、なのです！"""
ssn_019435_002_0110#0,"""まずは、エアリオタウン跡の近くなのです！"""
ssn_019435_002_0120#0,"""エアリオタウン跡を見下ろす、ソーラーパネルの付いた塔。<br>その塔の上に、いたずらネコさんっぽい子がいるようです！"""
ssn_019435_002_0130#0,"""よろしくお願いします、なのです！"""
ssn_019435_002_0210#0,"""次は、北エアリオなのです！"""
ssn_019435_002_0220#0,"""アルト・ラニ高原とハルファナ湿原の間に、深い谷があるのです。<br>その谷にかかっている一番上の鉄骨。そこで、寝ころんでいるんだとか。"""
ssn_019435_002_0230#0,"""よろしくお願いします、なのです！"""
ssn_019435_002_0310#0,"""次の場所は、南エアリオなのです！<br>ピコット山のてっぺんにあるコクーン。その入り口近くにいるようです。"""
ssn_019435_002_0320#0,"""あきらめずに、頑張りましょう！"""
ssn_019435_002_0410#0,"""今度は、ハルフィリア湖なのです！<br>湖の南にテントが立っていて、茶色いネコさんがいるそうです！"""
ssn_019435_002_0420#0,"""きっと今度こそ、大丈夫なのです！"""
ssn_019435_002_0510#0,"""今回は、本当にありがとうございました！<br>特殊装備は、お好きなように使ってほしいのです。"""
ssn_019435_002_0520#0,"""またなにかありましたら、<br>ぜひ、お願いしたいのです！"""
