text01#0,"""ข้าได้ยินเรื่องของท่านมามาก<br>ทุกคนบอกว่าท่านทำงานมากหนักมาก<br>แม้แต่ Zeno ก็ประทับใจ"""
11_voice_NPC_5002_104#0,"""ข้าอยากเห็นโดยตรงว่า<br>ท่านกำลังทำอะไรและไม่ได้เสี่ยงตาย<br>ข้าถึงอยากให้ท่านมากับข้า"""
text03#0,"""ทำอะไรเหรอ? โอ...มันคือ Client Order<br>เป็นการทดสอบความสามารถของท่าน"""
text04#0,"""แต่ไม่ต้องกังวล ข้าจะอยู่กับท่าน"""
text05#0,"""เฮ้ ทำไมทำหน้าแบบนั้นแค่บอกว่าข้าจะอยู่กับท่าน<br>ชิ...หยาบคายจริง<br>อย่างไรก็ดี จงรีบไป เราจะไปแล้ว!"""
text100#0,"""ร่วมเดินทางกับ Partner Characters"""
text101#0,"""<yellow>*Client Order นี้ ท่านจะมี Echo เป็นเพื่อนร่วมเดินทาง<br>ถ้าท่านตั้งพาสเวิร์ดในเมนู \""ใส่ข้อมูลปาร์ติ้\"" แล้วเลือก \""จำกัดการร้องขอจากปาร์ตี้อื่น\"" เมื่อรับมัน.<c>"""
text01#1,"""きみのうわさ、いろいろ聞いてるよ。<br>最近頑張ってるって、みんな言ってる。<br>ゼノもなんだか嬉しそうだった。"""
11_voice_NPC_5002_104#1,"""でもね、そういうときが一番危ないの。<br>だからちょっとあたしに付き合って。"""
text03#1,"""何するの、って？<br>クライアントオーダーよ。<br>力試し、って言えばいいのかな？"""
text04#1,"""そんなに心配しなくても<br>あたしも一緒に行くから大丈夫大丈夫！"""
text05#1,"""……なんであたしが一緒にってあたりで<br>不安そうな顔をするのよ。<br>失礼ね、まったく。ほら、行くわよ。"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※エコーを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
