st_057090_0010#0,"""クラリッサの先導により<br>イス＝アルスへと辿りついた守護輝士。"""
st_057090_0020#0,"""想定外の敵と相対しながらも<br>それらを打ち砕き、首都へと歩みを進める。"""
st_057090_0030#0,"""しかし、道中に待ち受けるのは<br>魔神城だけではない。"""
st_057090_0040#0,"""【双子】の眷属。<br>玩具系のダーカーの姿までもあった。"""
st_057090_0050#0,"""一刻も早くこの異常事態を解決すべく<br>守護輝士は急ぐ。"""
st_057090_0060#0,"""そこに愉しげに幾度も立ちはだかる<br>フローそっくりの【双子】。"""
st_057090_0070#0,"""まるでそれは、遊戯の如く。<br>かつてのいつかを、思い出すが如く。"""
st_057090_0080#0,"""待ち伏せ、でしょうか。<br>……どちらかというと<br>待ち合わせ、みたいに見えますが。"""
st_057090_0090#0,"""あっ、来た来た、来たね！<br>待ってたよ！"""
st_057090_0100#0,"""ふふふっ、あははっ！<br>遊び相手がいーっぱい！"""
st_057090_0110#0,"""さあさあ遊ぼう、みんなで遊ぼう！<br>遊べなかったぶん、これから遊べないぶん<br>いっぱい、いっぱい、めいっぱい！"""
st_057090_0120#0,"""敵愾心じゃなくて<br>ただ、無邪気に遊ぼうとしてる……"""
st_057090_0130#0,"""ふふっ、ふふふふっ！<br>とってもとっても、楽しいね！<br>昔とは、全然違う！"""
st_057090_0140#0,"""検査つまんなーい！<br>検査もうやだー！"""
st_057090_0150#0,"""わがままをいわないで。<br>何かの拍子に物を壊すのは<br>貴方にとっても本意ではないでしょう。"""
st_057090_0160#0,"""それが物ならばまだいい。<br>いずれは人をも壊してしまう。<br>……それは、嫌なの。"""
st_057090_0170#0,"""ちぇー……じゃあさ、クラリッサ！<br>検査の間にお話聞かせてよ！"""
st_057090_0180#0,"""話？"""
st_057090_0190#0,"""見つけたんでしょ、すごいの？<br>聞いたよ、あちこちで<br>みんなが話してる！"""
st_057090_0200#0,"""水がクラリッサの形になった！<br>革命的だー！\u3000って。<br>もう大騒ぎだった。"""
st_057090_0210#0,"""ああ、あの惑星に行った時の話ね。"""
st_057090_0215#0,"""あれは……そう、驚きだったわ。"""
st_057090_0220#0,"""そして、もたらされた知識もまた<br>驚くべきものだった。"""
st_057090_0230#0,"""私たちの技術は飛躍的な進化を遂げる。<br>寿命も延びるだろうし、研究も進む。"""
st_057090_0240#0,"""そしておそらく、フロー。<br>貴方の持つ異能の原因も……<br>きっと彼女が教えてくれた中にある。"""
st_057090_0250#0,"""彼女？\u3000その水、女の子なの？"""
st_057090_0260#0,"""……私の姿を取ったのだから<br>女の子でなければ、悲しいわね。"""
st_057090_0270#0,"""ああ、楽しかった。<br>やっぱり遊ぶのはとっても楽しい。<br>もっといっぱいたくさん、やらないと。"""
st_057090_0280#0,"""今のは……"""
st_057090_0290#0,"""フローの過去……？"""
st_057090_0300#0,"""<%me>さん？<br>何を見たんですか？"""
st_057090_0310#0,"""ルーサーの時のような……ビジョン。<br>そして、その内容……"""
st_057090_0320#0,"""フロー君と、クラリッサさんの過去。<br>それって……フォトナーが<br>シオンに出会う前の……？"""
st_057090_0330#0,"""……残念ながら、その記憶について<br>私は何も存じ上げません。<br>フローも恐らく、そうでしょう。"""
st_057090_0340#0,"""ただ、共通点があるとするなら<br>フローが生まれながらに<br>圧倒的な能力を持っていたこと。"""
st_057090_0350#0,"""それ故に、あの子は筆頭象徴に選ばれ<br>その身を、そのマナを国のために<br>捧げることになったのですから……"""
st_057090_0360#0,"""急ぎましょう、守護輝士様。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
