linewindow#0,"""อัพเกรดอาวุธ"""
text00#0,"""อัพเกรดอาวุธ"""
text01#0,"""ท่านสามารถอัพเกรดอาวุธได้ที่ Item Lab <br>โดยการอัพเกรดจะเป็นการปรับแต่งอาวุธและเกราะของท่าน"""
text02#0,"""ท่านต้องการสิ่งเหล่านี้ในการอัพเกรด<br>- Grinder<br>- Meseta<br><br>สิ่งของเหล่านี้จะใช้ในกระบวนการอัพเกรดอาวุธและเกราะ"""
text03#0,"""การอัพเกรดอาจสำเร็จหรือล้มเหลวก็ได้<br>ถ้าสำเร็จคุณสมบัติของไอเทมจะดีขึ้น <br>ซึ่งสามารถอัพเกรดได้สูงสุด 10 เลเวล ถ้าล้มเหลวคุณสมบัติไอเทมจะลดลง"""
text04#0,"""การอัพเกรดไอเทมจะมีค่าแสดงตั้งแต่ +1 ถึง +10<br>ด้านหลังชื่อในข้อมูลไอเทม"""
text05#0,"""ในการอัพเกรด Elemental ท่านต้องการของสามอย่าง:<br> - Meseta<br> - Elemental Synthesizer<br> - ชิ้นส่วนอาวุธ (Component Weapon)<br>สิ่งเหล่านี้จะทำให้ท่านอัพเกรดพลัง Element ของอาวุธ (เช่น Fire, Ice, ฯลฯ)<br>ใช้ส่วนประกอบที่มี Element เดียวกันเพื่อเพิ่มพลัง Element ให้มากขึ้น"""
text06#0,"""ในการเพิ่ม Augment ท่านต้องการของสองสิ่ง:<br> - Meseta<br> - ชิ้นส่วนอาวุธหรือ Armor Unit (Component)<br>ท่านสามารถเพิ่มอะไรก็ได้ที่ท่านต้องการจาก Augmentations ของ<br>ไอเทม Component โดยไอเทม Component ต้องมีตัวเลขตรงกับ Augmentations <br>สำหรับไอเทมตั้งต้น ยกเว้นไม่มี ในกรณีนั้นตัวเลขจะไม่มีความหมายอะไร"""
text07#0,"""โดยโอกาสของ Augmentations จะผ่านขึ้นจำนวนและเลเวล<br>ลองพยายามสร้างไอเทมพิเศษของท่านเองดู"""
linewindow#1,"""<br>『武器強化』について<br>"""
text00#1,"""『武器強化』について"""
text01#1,"""『武器の強化』について、説明します。<br><br>アイテムラボの施設で、武器は強化することが可能です。<br>アイテムラボとは、武器やユニットをカスタマイズしてする施設です。"""
text02#1,"""アイテム強化に必要なのは以下の２種類です。<br>\u3000・グラインダー<br>\u3000・メセタ<br><br>これらのアイテムを消費して、武器や防具を強化していきます。"""
text03#1,"""強化を実行すると、成功または失敗が発生します。<br>強化に成功した場合は、最大で１０段階性能がアップします。<br>強化に失敗した場合は、性能が１段階ダウンします。"""
text04#1,"""強化後のアイテムデータには、名称の語尾に<br>＋１～１０の表記が追加されます。"""
text05#1,"""続いて、属性強化に必要なのは、以下の３種類です。<br>\u3000・メセタ<br>\u3000・シンセサイザー<br>\u3000・素材武器<br>武器の属性（炎や氷など）を強化できます。<br>同じ属性の素材を使うと、より属性値が上がります。"""
text06#1,"""特殊能力追加に必要なのは、以下の２種類です。<br>\u3000・メセタ<br>\u3000・素材（武器またはユニット）<br>\u3000素材の特殊能力から好みのものを追加できます。<br>\u3000素材となる装備品は、元の装備品と同数の特殊能力が<br>\u3000必要ですが、例外的に元の特殊能力数がゼロの場合、<br>\u3000素材の特殊能力数は特に問われません。"""
text07#1,"""特殊能力は、数やレベルによって、継続される確率が変わります。<br>自分だけのスペシャルウェポンを作り上げましょう。"""
