name01#0,"""シエラ"""
text01#0,"""成功しましたね！<br>ためたギアゲージの使い方は<br>次の訓練で学びます。"""
text02#0,"""ファントムギアは５０％まで溜めると<br><red>「ファントムタイム」<c>を<br>発動させることができます。"""
text03#0,"""ファントムタイムは<br>発動すると、<red>しばらく無敵状態になり<br>ステップ中の無敵時間も延長<c>されます。"""
text04#0,"""テクニックやフォトンアーツの<br><red>消費ＰＰも２０％減少<c>するので<br>ばんばん攻撃できちゃいます！"""
text05#0,"""さらに！\u3000ファントムタイム中なら<br><red>「ファントムタイムフィニッシュ」<c><br>という超強力な攻撃を使えるんです！"""
text06#0,"""ファントムタイムフィニッシュは<br><red>ファントムタイム中にスキルアイコンを<br>もう一度押す<c>ことで発動します。"""
text07#0,"""それではファントムタイムを使って、<br>さらに<red>ファントムタイムフィニッシュを<br>発動<c>させてください！"""
text101#0,"""課題９：<yellow>ファントムタイムとファントムタイムフィニッシュを発動する"""
train_title#0,"""課題９：<yellow>ファントムタイムとファントムタイムフィニッシュを発動する"""
tut_title#0,"""ファントムタイムフィニッシュについて"""
text100#0,"""サブパレットのスキルアイコンから<br>①ファントムタイムを発動する<br>②もう一度ファントムタイムを選択<br>③ファントムタイムフィニッシュが発動する"""
text100_3b#0,"""サブパレットのスキルアイコンから<br>①ファントムタイムを発動する<br>②もう一度ファントムタイムを選択<br>③ファントムタイムフィニッシュが発動する"""
