un_013050_0010#0,"""ว่าไง สวัสดี"""
un_013050_0020#0,"""ท่านเองก็จะเข้าร่วมงานชุมนุมสังสรรค์<br>ด้วยใช่รึเปล่า? ถ้าลังเลอยู่ล่ะก็<br>ข้าคิดว่าลองเข้าร่วมดูก็ดีนะ"""
un_013050_0030#0,"""แม้ว่าจะมีบางคนที่พูดว่ามันใช่เวลาที่จะมา<br>จัดงานชุมนุมสังสรรค์หรือไงก็เถอะนะ<br>ยังไงซะก็ไม่มีคนที่มองโลกในแง่ดีอยู่หรอก"""
un_013050_0040#0,"""แต่การคอยระแวงเกินไปมันก็ไม่ดีหรอก<br>ต้องบังคับตัวเองเข้าสังคมแล้วก็ผ่อนคลายซะบ้าง"""
un_013050_0050#0,"""แต่ก็นะ ส่วนเนื้อหาที่เป็นการประลอง<br>ฝีมือกันนั่นมันก็สมกับที่เป็น Regius <br>กับ Huey ดีน่ะนะ"""
un_013050_0060#0,"""เพราะพวกเขาเป็นกลุ่มที่ชื่นชอบ<br>การฝึกฝนหรือฝึกพิเศษแม้กระทั่ง<br>ในหมู่ Six Pillars ด้วยกันเอง"""
un_013050_0070#0,"""เอาเถอะ ตอนที่สนุกได้ก็ควรจะสนุก<br>ให้เต็มที่ เพราะอีกไม่นานอาจจะ<br>เกิดเรื่องใหญ่ขึ้นก็ได้"""
un_013050_0010#1,"""や、こんにちは。"""
un_013050_0020#1,"""君はかの催し物に参加するのかな？<br>もし迷ってるなら<br>参加してみるといいと思うよ。"""
un_013050_0030#1,"""お祭り騒ぎしている場合か、と<br>苦言を呈する人もいるけどね<br>別に誰も楽観はしてないよ。"""
un_013050_0040#1,"""気を張りすぎても毒だから、公的に<br>強制して息抜きさせようとしてるのさ。"""
un_013050_0050#1,"""ま、その内容が戦技大会になるあたりは<br>なんともレギアスやヒューイの<br>采配っぽいけどね。"""
un_013050_0060#1,"""彼ら、六芒均衡の中でも特に<br>特訓とか訓練とか努力とか、そういう<br>暑苦しいテーマが大好きだから。"""
un_013050_0070#1,"""ま、楽しめるときは存分に<br>楽しむといい、ってことだよ。<br>そのうち大変になるだろうしね。"""
