un_043070_0001#0,"""A.P.2028/x/xx"""
un_043070_0010#0,"""シエラ、入るわよ。<br>……あ、やっぱり<br><%me>もいるわね。"""
un_043070_0020#0,"""あら、サラさん。<br>どうしたんです、ここに来るなんて珍しい。"""
un_043070_0030#0,"""<%me>が復帰したって<br>聞いたから、クラリスクレイスに呼ばれた<br>ついでに顔を見に寄っただけよ。"""
un_043070_0040#0,"""面倒事に巻き込まれてるって聞いたけど<br>なんだ、思ったより元気そうじゃない。"""
un_043070_0050#0,"""あれ？<br>シャオから聞いてないんですか？"""
un_043070_0060#0,"""<%me>が復帰したって<br>連絡だけ、詳細はなにもなし。"""
un_043070_0070#0,"""どんどん手抜きになってくのよ、アイツの連絡。<br>……縁者をなんだと思ってるのかしらね。<br>いっそのこと、縁切ってやろうかしら。"""
un_043070_0080#0,"""１．シャオは元気？"""
un_043070_0090#0,"""２．……寂しいんだね"""
un_043070_0100#0,"""それはあたしのほうが聞きたいわ。<br>マザーシップ中枢に引きこもって<br>ずーっと演算してるみたいだし、まあ大丈夫でしょ。"""
un_043070_0110#0,"""シップの管理なんかも、全部シエラたちに<br>任せっきりみたいだし、ね？"""
un_043070_0120#0,"""……ばーっかじゃないの。<br>もうほっとかれるのにも慣れたわよ。"""
un_043070_0130#0,"""それに、そんなの感じる暇もないぐらい忙しいし。<br>ばかマリアが雑用とかぜーんぶ<br>あたしにぶん投げてくるからね。"""
un_043070_0140#0,"""そういえば、総務部の提出資料について<br>相談したいことがあったんですけど<br>ちょっといいですか？"""
un_043070_0150#0,"""ああ、別にいいわよ、時間なら……<br>……って、ちょっと待って！<br>シャオから通信！"""
un_043070_0160#0,"""……もう、シャオ！<br>あんた、いつも連絡よこすの唐突すぎるのよ！"""
un_043070_0170#0,"""……で、どうかしたの？\u3000なんでもない？<br>声が聞きたくなった……って、バカじゃないの？<br>だったらさっさと演算終わらせて出てきなさいよ。"""
un_043070_0180#0,"""こっちは適当にやってるわよ。うん、うん。<br>大丈夫、そのへんもなんとかしておいた。<br>……わかってる、喧嘩もしてないって。"""
un_043070_0190#0,"""はい、はい、うん、わかったから。<br>そんなのいちいち確認しなくても大丈夫よ。<br>あんたの方こそ大丈夫なの？"""
un_043070_0200#0,"""……ま、別に心配してるわけじゃないけどね。<br>とりあえず、またそっち行くから<br>今度はちゃんと出てきなさいよ。いいわね。"""
un_043070_0210#0,"""はいはい、それじゃあね。"""
un_043070_0220#0,"""まったく、いつも急なんだから。<br>ごめんなさいシエラ、話の続きを……"""
un_043070_0230#0,"""……な、何よ！"""
un_043070_0240#0,"""いやあ、なんか、なんというか……<br>……いいですねぇ、今の。"""
un_043070_0250#0,"""っ！\u3000ほらシエラ！\u3000さっさと用件！<br>どうせマリアの出した書類の問題でしょ！<br>早く見せる！\u3000早くっ！"""
un_043070_0260#0,"""はーい、はいはーい。"""
un_043070_0270#0,"""<%me>も<br>こんなところで油売ってないで<br>アークスとして活動！\u3000してきなさい！"""
