11_voice_NPC_5510_101#0,"""ふははははははっ！<br>夏だ！\u3000海だ！\u3000オレだ！<br>戦闘部司令のヒューイだ！"""
11_voice_NPC_5510_102#0,"""おっと、引き返さずに話を聞いてくれ！<br>ちょうど君に、頼みたいことがある。"""
skit01_03#0,"""色々ワケがあってな！<br>ま、人助けと思って頼まれてくれ！<br>準備が出来たら、よろしくな！"""
11_voice_NPC_5510_100#0,"""おっ。<br>調子はどうだ？"""
skit02_02#0,"""まあ、君なら楽勝だろう。<br>大船に乗ったつもりで待っているぞ！"""
skit03_01#0,"""うーむ、姐さんからの「宿題」が<br>こんなにもやっかいだとは……"""
11_voice_NPC_5510_100#1,"""まあ、君にも<br>手伝ってもらっているしな！<br>なんとかなるだろう！"""
11_voice_NPC_5510_104#0,"""オレは、もしかして……<br>水着でここに立っている必要は<br>なかったんじゃないか？"""
11_voice_NPC_5510_100#2,"""まあ、細かいことは気にしない！<br>夏だから、いいだろう！"""
11_voice_NPC_5510_100#3,"""いやあ、本当に助かった！<br>ありがとう！"""
skit05_02#0,"""ああ、「宿題」の提出か？<br>夏が終わるまでにすればいい！<br>まだ時間がある、大丈夫だ！"""
11_voice_NPC_5510_101#1,"""困った時は、オレに<br>いつでもなんでも言ってくれ！<br>喜んで手を貸すからな！"""
