un_010120_0010#0,"""ว่าไง <%me><br>ข้าได้เห็นของดี ๆ จากท่านซะแล้วสิ"""
un_010120_0020#0,"""ตอนที่เจอท่านครั้งแรก ท่านมีฝีมือ<br>ขนาดไหนกันแน่นะ?<br>แหมแหม ท่านมีฝีมือดีขึ้นมากจริง ๆ นะ"""
un_010120_0030#0,"""แข็งแกร่งย่อมดีกว่าอ่อนแอ<br>เรื่องนี้เป็นเรื่องที่ใคร ๆ ก็รู้กันแหละนะ"""
un_010120_0040#0,"""ถ้ามีพละกำลังระดับนึงแล้ว เราจะเลือกยังไง<br>ก็ได้ จะสู้ จะป้องกัน หรือจะหลบหนีออกมา"""
un_010120_0050#0,"""แต่อย่ามั่นใจในตัวเองมากไปนักล่ะ<br>ความหยิ่งยะโสจำทำให้ท่านตัดสินใจผิดพลาด<br>ซึ่งถ้าพลาดไปแล้วก็แก้ไขอะไรไม่ได้...... อีก"""
un_010120_0060#0,"""ข้าหวังในตัวท่านมากนะ<br>ดังนั้นแล้วอย่าทำให้ข้าต้องเห็นท่าน<br>เลือกเดินไปในทางที่ผิดล่ะกัน"""
un_010120_0070#0,""".......ประมาณนั้นแหละ<br>ที่ข้าพูดมาได้นี่เพราะเตรียมบทไว้ก่อนนะ"""
un_010120_0080#0,"""เฮ้ ๆ ทำไมทำหน้าแบบนั้นล่ะ<br>แค่ข้าพูดอย่างจริงจังแค่นี้<br>มันดูประหลาดมากเลยงั้นเหรอ?"""
un_010120_0090#0,""".......ก็นะ คิดซะว่ามันเป็น<br>คำแนะนำจากรุ่นพี่ก็แล้วกัน"""
un_010120_0100#0,"""ขอแค่ได้<br>จำไว้หน่อยก็พอแล้วล่ะ<br>ไปล่ะนะ"""
un_010120_0010#1,"""よーう<%me><br>ちょっくら見物させてもらってたぜ。"""
un_010120_0020#1,"""お前さんに初めて会ったのは<br>どのくらいだったっけ？<br>いやはや、堂に入ってきたもんだな。"""
un_010120_0030#1,"""弱いよりは強いほうが良い。<br>それは誰でもわかる、当たり前の話だ。"""
un_010120_0040#1,"""ある程度の力があれば、守るにせよ<br>逃げるにせよ、選択肢が増えるからな。"""
un_010120_0050#1,"""だけど、過信だけはするなよ。<br>うぬぼれは判断を鈍らせる。<br>取り返しのつかないことを……招く。"""
un_010120_0060#1,"""お前さんには期待している。<br>だからこそ、いざというときの選択を<br>間違えてくれるなよ。"""
un_010120_0070#1,"""……なんてな。<br>ただの心構え的な話だよ。"""
un_010120_0080#1,"""おいおいなんだよ、その顔は。<br>俺が真面目な話をするのは<br>そんなにいけないことなのか？"""
un_010120_0090#1,"""……ま、先輩の戯れ言と思って<br>受け流しておけって。"""
un_010120_0100#1,"""心の隅っこで<br>覚えててくれれば、それでいいよ。<br>そんじゃな。"""
