name_7444#0,"""キリシマ"""
ssn_015300_0001#0,"""このスティアでの任務は、<br>本当に過酷です。"""
ssn_015300_0002#0,"""ボクも正直、これほどとは、<br>思っていませんでした……。"""
ssn_015300_0101#0,"""ボクは、このキャンプで、<br>後方支援を担当しているキリシマと申します。"""
ssn_015300_0102#0,"""あなたに、少し相談したいことがあるのですが……。<br>よろしいでしょうか？"""
ssn_015300_0201#0,"""アルターズが減れば、<br>スムーズに補給が行えるはずです。"""
ssn_015300_0202#0,"""調査員たちのためにも、<br>よろしくお願いします。"""
ssn_015300_0301#0,"""そうですか……。<br>では、またの機会にお願いできればと。"""
ssn_015300_1001#0,"""あなたのおかげで、<br>調査員たちの活動も順調みたいです。"""
ssn_015300_1002#0,"""また困ったときは、相談させてください。<br>よろしくお願いします。"""
ssn_015300_1101#0,"""……あ、あの。<br>すみません！"""
ssn_015300_1102#0,"""仲間が、大変なことになってしまって……。<br>助けてもらえないでしょうか？"""
ssn_015300_1201#0,"""一緒に向かいたいのですが、<br>ボクの力では、足を引っ張るだけなので……。"""
ssn_015300_1202#0,"""よろしくお願いします……！"""
ssn_015300_1301#0,"""そうですか……。<br>では、またの機会にお願いできればと。"""
ssn_015300_1401#0,"""本当にお世話になりました。"""
ssn_015300_1402#0,"""でもチトセさん、あの後もくじけずに、<br>プラントに行ってるみたいです。"""
ssn_015300_1403#0,"""ノリは軽い感じですけど、<br>芯はしっかりしていると言いますか……。"""
ssn_015300_1404#0,"""仲間思いで、正義感もあるので、<br>いつか立派な、アークスになってくれると思っています。"""
