skit_01#0,"""な、なんとか、開園に間に合ったぞ。<br>作る側って大変なんだな……"""
skit_02#0,"""おっと。よく来たな！<br>オレはポリタン！\u3000よろしくなっ！<br>さあ、どんどん挑戦してくれっ！"""
skit_03#0,"""何に挑戦するのかって？<br>決まってるだろ！<br>ポリタンランドだよっ！"""
skit_04#0,"""このオレが作ったんだぞ！<br>面白さは保証するから、楽しんでくれ！"""
skit01_01#0,"""どうだ？<br>ポリタンランドは<br>楽しんでもらえてるか？"""
skit01_02#0,"""課題の方も頑張ってくれよな！"""
skit02_01#0,"""ポリタンランドはなんてったって<br>スコア制にしてる所が面白いよな！"""
skit02_02#0,"""ハイスコアを更新するために<br>試行錯誤して、更新が出来た時の<br>嬉しさはたまらないぞ！"""
skit02_03#0,"""オレからの課題をこなしつつ<br>ハイスコアもバンバン狙ってくれよな！"""
skit03_01#0,"""ん？<br>オレが出した課題、難しいか？"""
skit03_02#0,"""ポリタンランドは何回挑戦しても<br>オッケーだからな。<br>諦めずに頑張ればきっと出来るぞ！"""
skit04_01#0,"""オレの課題を、全部クリアしたな。<br>お疲れ様だぞ。"""
skit04_02#0,"""ポリタンランドをたっぷり<br>遊んでくれて、オレは嬉しいぞ！"""
skit04_03#0,"""でも、これでポリタンランドが<br>終わりってワケじゃないからな！"""
skit04_04#0,"""オレの課題を参考にすれば<br>もっともっとスコアを稼げるから<br>さらに高みを目指して頑張ってくれ！"""
skit04_05#0,"""あ、でも、コンテナを壊す時だけは<br>すこーし優しくしてくれよな……？"""
