name01#0,"""Risa"""
name01#1,"""リサ"""
text01#0,"""Okay, okay, okay. Let the killing begin."""
text02#0,"""We're both Rangers, so there's really not<br>much to go over. Just kill, reload, kill, reload.<br>What could be more fun than that?"""
text03#0,"""I mean, watching hostiles dance before<br>they die? And then having people tell you<br>how great you did? It's totally to die for."""
text04#0,"""ARKS is the best thing that ever happened<br>to me."""
11_voice_NPC_5026_100#0,"""I know my tastes are a bit unusual, but what's<br>a girl to do? I like what I like. Hee hee hee..."""
text01#1,"""ではではあ<br>始めちゃいましょうかあ。"""
text02#1,"""あなたもリサもレンジャーですから<br>特に気にせず撃ってやって撃ってやって<br>それだけで楽しいはずですよお。"""
text03#1,"""だってだってだってえ<br>撃ってやって楽しんで、その上<br>褒められちゃうんですよお。"""
text04#1,"""ほーんと、アークスは至れり尽くせり。<br>リサにとって理想の環境です。"""
11_voice_NPC_5026_100#1,"""ひとを撃っちゃいけない、というのは<br>残念ですけど、仕方がないですねえ。<br>ふふふふっ……"""
