un_013030_0010#0,"""喲，搭檔。<br>看來事情鬧得很大喔。"""
un_013030_0020#0,"""那個叫黑暗法爾斯吧。<br>那種東西居然會在納貝流士，<br>真是出乎意料外耶......"""
un_013030_0030#0,"""不過回想起來，<br>那顆行星老是出現<br>一些奇妙的事。"""
un_013030_0040#0,"""我忘不了當我們完成研修任務時<br>出現了不應該會有的達卡......"""
un_013030_0050#0,"""還有瑪特伊妹妹，沒錯吧？<br>那個沒見過的女孩子倒在那邊......"""
un_013030_0060#0,"""對了對了，之後還有那個<br>怪異面具傢伙跑來糾纏......"""
un_013030_0070#0,"""......咦，等等？<br>我去了那顆行星這麼多次了喔？"""
un_013030_0080#0,"""也好啦。<br>這些事情的發生<br>全都是那黑暗法爾斯造成的囉？"""
un_013030_0090#0,"""總覺得啊，不只有這樣而已<br>......嗯－－，詳細的情況<br>我搞不懂啊。"""
un_013030_0010#1,"""よっ、相棒。<br>なんだか大変なことになってきたな。"""
un_013030_0020#1,"""ダークファルス、だったっけ？<br>あんなのがナベリウスにいたなんて<br>想像もしなかったぜ……"""
un_013030_0030#1,"""でも、思えばあの惑星は<br>不思議なことばっかり<br>起きてたよな。"""
un_013030_0040#1,"""忘れもしない、おれたちの修了任務の時<br>いないはずのダーカーが出現したり……"""
un_013030_0050#1,"""マトイちゃん、だっけ？<br>見知らぬ女の子が倒れてたり……"""
un_013030_0060#1,"""そうそう、あとはあの<br>ヘンテコな仮面野郎に絡まれたり……"""
un_013030_0070#1,"""……って、あれ？<br>おれ、そんなにあの惑星行ってたっけ？"""
un_013030_0080#1,"""まあいいや。<br>そのへんの出来事すべて<br>あのダークファルスのせいなのかな？"""
un_013030_0090#1,"""なーんか、それだけじゃない気が<br>するけど……うーん、詳しいところは<br>わからねーなぁ。"""
