name_7428#0,"""ユーリ"""
ssn_014921_0101#0,"""うんうん、そうこなくっちゃ！"""
ssn_014921_0102#0,"""その方法っていうのは……、<br>クヴァリスの食材を使った“クイックフード”を食べるってことさ！"""
ssn_014921_0103#0,"""……まあ、なにかを食べたら身体が温かくなるのは、<br>当たり前の話だよね……。"""
ssn_014921_0104#0,"""でもクヴァリスの食材は特別でね。<br>身体の芯からポカポカして、寒さもへっちゃらになるのさ。"""
ssn_014921_0105#0,"""ちょうど今、私がいくつか持ってるから<br>キミにあげるよ。"""
ssn_014921_0106#0,"""さっそく、クイックフードを作って食べてみてね！"""
ssn_014921_0200#0,"""マッタ・クヴァルキャロツを3個、シャッキ・クヴァルマシュルを3個、マッタ・クヴァルマギカイを3個を入手しました。"""
ssn_014921_0201#0,"""ガッツ・クヴァルザリーニを3個、サッパ・クヴァルプラームを3個、ガッツ・クヴァルアッケビルを3個入手しました。"""
ssn_014921_0300#0,"""マッタ・クヴァルキャロツを1個、シャッキ・クヴァルマシュルを1個、マッタ・クヴァルマギカイを1個を入手しました。"""
ssn_014921_0301#0,"""ガッツ・クヴァルザリーニを1個、サッパ・クヴァルプラームを1個、ガッツ・クヴァルアッケビルを1個入手しました。"""
