name01#0,"""希爾達"""
name02#0,"""フォトンアーツの使用"""
name03#0,"""テクニックの使用"""
11_voice_navi02_107#0,"""嗯，頗有天份的樣子呢。<br>接著再來學習光子技能吧。"""
11_voice_navi02_108#0,"""熟練比學習更重要。<br>實際使用光子技能看看吧。"""
11_voice_navi02_127#0,"""嗯，頗有天份的樣子呢。<br>接著再來學習法術吧。"""
11_voice_navi02_128#0,"""熟練比學習更重要。<br>實際使用法術看看吧。"""
text00#0,"""關於『光子技能』"""
text01#0,"""教學<br>說明關於『光子技能』。<br><br>釋放光子技能時須消耗PP（光子點數）<br>是比普通攻擊更強的攻擊。"""
text03#0,"""按下<%PhotonArts>，可施展出搭配裝備中武器<br>的光子技能。"""
text10#0,"""『テクニック』について"""
text11#0,"""テクニックとは、<br><c 00ffff>ＰＰ（フォトンポイント）を消費して放つ<br>魔法のような技です。<c><br><br><%PhotonArts>で、<br>「テクニック」を使います。<br><br>PPは時間経過、または通常攻撃を<br>ヒットさせることで回復します。"""
text12#0,"""フォトンアーツ（略称：ＰＡ）とは、<br><c 00ffff>ＰＰ（フォトンポイント）を消費して放つ<br>必殺技です。<c><br><br><%PhotonArts>で、ペットに対して<br>フォトンアーツ攻撃を命令します。<br><br>ＰＰは時間経過、または通常攻撃を<br>ヒットさせることで回復します。"""
text13#0,"""さらに、「テクニック」と呼ばれる<br>魔法のような技も使えます。<br><br>サブパレットに「テクニック」を<br>セットしておくと、テクニックで<br>ペットの援護攻撃や回復ができます。<br><br>状況に応じて、使い分けましょう。"""
text100#0,"""以<%PhotonArts>使出光子技能！"""
text101#0,"""以<%PhotonArts>施展法術！"""
text1000#0,"""以<%PhotonArts>使出光子技能！"""
text1001#0,"""以<%PhotonArts>施展法術！"""
text201#0,"""フォトンアーツを決めろ！"""
text202#0,"""テクニックを放て！"""
text203#0,"""フォトンアーツ：<%PhotonArts>"""
text204#0,"""テクニック：<%PhotonArts>"""
text205#0,"""フォトンアーツを命令しろ！"""
text206#0,"""フォトンアーツ：<%PhotonArts>"""
11_voice_navi02_107#1,"""嗯，頗有天份的樣子呢。<br>接著再來學習光子技能吧。"""
11_voice_navi02_108#1,"""熟練比學習更重要。<br>實際使用光子技能看看吧。"""
11_voice_navi02_127#1,"""嗯，頗有天份的樣子呢。<br>接著再來學習法術吧。"""
11_voice_navi02_128#1,"""熟練比學習更重要。<br>實際使用法術看看吧。"""
text00#1,"""關於『光子技能』"""
text01#1,"""チュートリアル<br>『フォトンアーツ』について説明します。<br><br><c 00ffff>フォトンアーツとは、<br>ＰＰ（フォトンポイント）を消費して放つ<br>通常攻撃よりも強力な攻撃です。<c>"""
text02#0,"""按下<%PhotonArts>，可施展出搭配裝備中武器<br>的光子技能。"""
text03#1,"""<%PhotonArts>ボタンを押すと、装備している武器に対応した<br>フォトンアーツを繰り出します。<br><br>フォトンアーツは繰り出す度にＰＰ（フォトンポイント）を消費します。"""
text03_2#0,"""ＰＰの消費量はフォトンアーツごとに設定されており、<br>フォトンアーツのＰＰ消費量に対して、現在のＰＰが少ない場合<br>画面のようなアイコンが表示され、フォトンアーツが繰り出せません。"""
text04#0,"""每次施展光子技能時都會消耗PP（光子點數）。<br>PP會隨時間經過或是普通攻擊命中時恢復。<br>好好地搭配運用普通攻擊與光子技能作戰吧。"""
text05#0,"""『テクニック』について"""
text06#0,"""教學<br>說明關於『法術』。<br><br>法術指的是法師消耗PP（光子點數）所釋放的<br>強力攻擊。"""
text07#0,"""按下<%PhotonArts>，施展法術。<br><br>每次施展法術就會消耗PP（光子點數）<br>PP會隨時間經過或是普通攻擊命中時恢復。<br>好好地搭配運用普通攻擊與法術作戰吧。"""
text08#0,"""ＰＰの消費量はテクニックごとに設定されており、<br>テクニックのＰＰ消費量に対して、現在のＰＰが少ない場合<br>画面のようなアイコンが表示され、テクニックが繰り出せません。"""
text09#0,"""ＰＰは時間経過、または通常攻撃をヒットさせることで回復します。<br>通常攻撃とテクニックをうまく組み合わせて戦いましょう。"""
text10#1,"""「ジェットブーツ」を装備時には<br>攻撃テクニックをチャージすることで、<br>攻撃範囲の拡大や属性を変化させる<br>ことができます。<br><br>さらにテクニックを放つことも可能です。<br>状況に応じて使い分けて戦いましょう。"""
text100#1,"""以<%PhotonArts>使出光子技能！"""
text101#1,"""以<%PhotonArts>施展法術！"""
text1000#1,"""以<%PhotonArts>使出光子技能！"""
text1001#1,"""以<%PhotonArts>施展法術！"""
