text01#0,"""ภารกิจฝึกซ้อมครั้งก่อนหน้านี้<br>ต้องขอบคุณท่านมากเลยนะที่ยอมไปกับชั้น"""
text02#0,"""สำหรับวันนี้ จะเป็นการฝึกซ้อมที่อาจเรียกได้<br>ว่าเป็นขีดสุดเกินกว่าที่จะเป็นภารกิจฝึกซ้อม<br>ชั้นอยากจะให้ท่านไปกับชั้นอีกซักครั้ง"""
11_voice_NPC_5125_104#0,"""ยังไงก็ตาม หากใช้ Virtual Space แล้ว<br>ดูเหมือนว่าก็จะสามารถซิมูเลเตอร์<br>ต่อสู้กับศัตรูตัวอะไรก็ได้สินะ"""
text04#0,"""เรื่องฝึกซ้อมเองก็ใช่อยู่หรอก<br>แต่ชั้นสนใจในเทคโนโลยีอันนั้นน่ะ"""
text05#0,"""อา ใช่ๆ สิ่งนี้ รู้สึกว่าจะเป็นสิ่ง<br>จำเป็นที่ต้องใช้ในการเข้าร่วมฝึกซ้อม <br>ชั้นจะขอมอบให้ท่าน"""
text06#0,"""ถ้าเช่นนั้น ตอนที่จะไปทำภารกิจ<br>ก็เรียกชั้นด้วยนะ"""
text01#1,"""この前は、演習任務に<br>付き合ってくれてありがとう。"""
text02#1,"""今日は、演習任務を超える<br>極限とまで呼ばれる訓練に<br>また、一緒に付き合ってほしいの。"""
11_voice_NPC_5125_104#1,"""なんでも、仮想空間を使った<br>シミュレータであらゆるエネミーと<br>戦うことができるらしいわね。"""
text04#1,"""訓練の内容もそうだけど、<br>そのテクノロジーに興味があるわ。"""
text05#1,"""ああ、そうそう。<br>これ、訓練参加に必要らしいわね。<br>貴方に渡しておくわ。"""
text06#1,"""それじゃ、任務に行く時には<br>声をかけてね。"""
