LogName#0,"""รายละเอียด Emergency Trial"""
TrialSuccessMsg#0,"""Emergency Trial [$(0)] สำเร็จ!"""
TrialFailureMsg#0,"""Emergency Trial [$(0)] ล้มเหลว!"""
TrialFailureMsg_PlayerAnnihilation#0,"""ข้อความสำหรับ Trial ล้มเหลว (ผู้เล่นแพ้หมด)"""
TrialCancelMsg#0,"""ยกเลิก"""
TrialTargetKey#0,"""Info Key ที่เก็บได้"""
TrialTargetEnemy#0,"""ศัตรูที่ถูกกำจัด"""
DirectionNorth#0,"""ทิศเหนือ"""
DirectionEast#0,"""ทิศตะวันออก"""
DirectionSouth#0,"""ทิศใต้"""
DirectionWest#0,"""ทิศตะวันตก"""
RemainingEnemyNumMsg#0,"""อีก $(0) ตัว!"""
EnemyEscapeMsg#0,"""$(0) หนึ่งตัวหลบหนีไปได้!<br>ถ้า $(1) หนีไปได้อีกหนึ่งตัวภารกิจจะล้มเหลว"""
EnemyEscapeLastMsg#0,"""$(0) ที่ต้องเก็บรวบรวมข้อมูลหนีไปแล้ว!"""
KeyTrialMsg#0,"""ผ่าน Emergency Trial นี้ได้แล้วภารกิจของท่านจะเสร็จสิ้น!"""
MultiEnemyName#0,"""ศัตรู"""
PartnerEnemyName#0,"""Paragenetic Hostile"""
PantherName#0,"""Fangbanther"""
SnowPantherName#0,"""Snowbanther"""
CollectGoodsNameA#0,"""ฟอสซิลแมลง"""
CollectGoodsNameB#0,"""วัตถุรูปไข่"""
CollectGoodsNameC#0,"""แร่หายาก"""
NauraShopNameA#0,"""ร้านเค้กของ Naura"""
BonusmapEnemyGenericName#0,"""ศัตรูหายาก"""
FCondNone#0,"""ไม่มี"""
FCondNoPlayerInArea#0,"""ถ้าไม่มีคนอยู่ในพื้นที่"""
FCondTimeLimitOver#0,"""ถ้าหมดเวลาแล้ว"""
FCondAllPlayerDied#0,"""ถ้าผู้เข้าร่วมทุกคนอยู่ในสถานะไม่สามารถต่อสู้ได้"""
FCondNumPlayerDead#0,"""ผู้เข้าร่วม HP หมดเป็นจำนวน $(0) ครั้ง"""
FCondEnemybombOutbreak#0,"""ถ้า Bayze ระเบิด"""
FCondNeoBurufuOutbreak#0,"""ถ้าโจมตี $(0) ครั้งหรือมากกว่าโดยไม่สามารถกำจัดมันได้ในเวลาที่กำหนด"""
FCondDarkerLightningStruck#0,"""หากถูกจู่โจมโดยสายฟ้าจำนวน  $(0) ครั้ง"""
FCondCapturePlayerDied#0,"""ถ้าผู้เล่นที่ถูกจับอยู่ในสถานะไม่สามารถต่อสู้ได้"""
FCondHelicopterDestroy#0,"""ถ้า Fighter Plane ถูกทำลายโดยสมบูรณ์"""
FCondNumEnemyEscape#0,"""ถ้ามี $(0) หรือมากกว่าหนีไปได้"""
FCondCollectSample#0,"""ถ้าจำนวน Quota ไม่ถึงที่กำหนดในระยะเวลา"""
FCondPseDestroy#0,"""ถ้า Energizer Crystal สองอันถูกทำลาย"""
FCondNumApcDead#0,"""Partner HP หมดเป็นจำนวน 2 ครั้ง"""
FCondSessionApcDead#0,"""Partner ทุกคนอยู่ในสถานะไม่สามารถต่อสู้ได้"""
FCondDwarfCaptorDead#0,"""ถ้า Gilnas ถูกทำลายโดยสมบูรณ์"""
FCondDwarfDead#0,"""ถ้า Lagomite ถูกทำให้อยู่ในสถานะต่อสู้ไม่ได้"""
FCondGoodsDestroy#0,"""ถ้า $(0) ถูกทำลาย $(1) ครั้งหรือมากกว่า """
FCondStruckUmblla#0,"""ถ้า Mr. Umbra ถูกโจมตี 2 ครั้ง"""
FCoundMissUmblla#0,"""ในกรณีที่โจมตี Mr. Umbra พลาด 5 ครั้ง"""
