ar_or010200#0,"""No.1<br>จงไปเคลียร์ Client order ของ Cofy <br>[Mag License Test]<br><yellow>*Lv.3~ขึ้นไปถึงจะสามารถรับได้<c>"""
ar_or010201#0,"""No.2<br>จงไปเคลียร์ Client order ของ Echo <br>[Aspire to be a Mag Breeder!]"""
ar_or010202#0,"""No.3<br>จงไปเคลียร์ Client order ของ Cofy <br>[Unrestricted Exploration Test: Greenscape]"""
ar_or010203#0,"""No.4<br>จงไปเคลียร์ Client order ของ Cofy <br>[Exploration Permit Test: I]"""
ar_or010200#1,"""No.1<br>コフィーのクライアントオーダー<br>「マグライセンス授与申請試練」の達成<br><br><yellow>※Lv.3～受注可能<c>"""
ar_or010201#1,"""No.2<br>エコーのクライアントオーダー<br>「マグブリーダーをめざせ！」の達成"""
ar_or010202#1,"""No.3<br>コフィーのクライアントオーダー<br>「自由探索許可申請・森林」の達成"""
ar_or010203#1,"""No.4<br>コフィーのクライアントオーダー<br>「探索許可申請試練・Ⅰ」の達成"""
ar_or010200#2,"""Mag License Test"""
ar_or010201#2,"""Aspire to be a Mag Breeder!"""
ar_or010202#2,"""Unrestricted Exploration Test: Greenscape"""
ar_or010203#2,"""Exploration Permit Test: I """
ar_or010200#3,"""マグライセンス授与申請試練"""
ar_or010201#3,"""マグブリーダーをめざせ！"""
ar_or010202#3,"""自由探索許可申請・森林"""
ar_or010203#3,"""探索許可申請試練・Ⅰ"""
