Title#0,"""バウンサーの基礎"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：フォトンアーツのジャストアタック<br>課題２：武器アクションとフォトンブレード<br>課題３：武器属性の上書き<br>課題４：派生攻撃の使用<br>課題５：２段ジャンプ訓練<br>課題６：実戦訓練"""
SimpleExplanation#0,"""６つの課題を達成せよ！"""
Training1#0,"""ジャストアタックPAを成功させる"""
Training2#0,"""武器アクションを行う"""
Training3#0,"""フォトンブレードを発動する"""
Training4#0,"""フォイエをチャージ"""
Training4_1#0,"""ギアをためて通常攻撃"""
Training4_2#0,"""バータをチャージして通常攻撃"""
Training5#0,"""派生攻撃を行う"""
Training6#0,"""目標地点に辿り着く"""
Training7#0,"""エネミーを殲滅する"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
Retry_6#0,"""課題６"""
Retry_7#0,"""課題７"""
