name01#0,"""Arkma"""
text01#0,"""ท่าน <%me><br>โทษนะที่อยู่ๆก็ติดต่อเข้ามา"""
text02#0,"""ยินดีที่ได้รู้จัก<br>ชื่อของผมคือ [Arkma]"""
text03#0,"""มีหน้าที่รับผิดชอบงาน Ark Ship Competition<br>ที่คนกำลังพูดถึงนั่นแหละ"""
text04#0,"""ฝากตัวด้วยนะ"""
text05#0,"""คือจะมาบอกว่า<br>[Ark Ship Competition]<br>กำลังใกล้เข้ามาแล้ว"""
text06#0,"""[Ark Ship Competition] ก็คือ<br>งานแข่งขันที่ตัดสินแพ้ชนะ<br>จากแต้มที่ผู้เล่นทุกคนช่วยกันทำได้"""
text07#0,"""ถ้าต้องการรายละเอียดเพิ่มเติม<br>มาคุยกับผมที่ Shop Area ได้ทุกเวลาเลยนะ"""
text08#0,"""ผมจะยืนอยู่หน้า Monument Square ตลอดเวลา<br>ไม่ต้องกลัวจะหาไม่เจอนะ<br>หล่อๆอย่างผมหาง่ายอยู่แล้ว"""
text09#0,"""งั้นไปก่อนล่ะ ไว้เจอกันนะ"""
text10#0,"""เกี่ยวกับ [ตำแหน่งของ Arkma]"""
text11#0,"""Arkma จะประจำอยู่ที่ Monument Square บริเวณ Shop Area"""
name01#1,"""アークマ"""
text01#1,"""<%me>殿。<br>突然の連絡、失礼する。"""
text02#1,"""お初にお目にかかる。<br>私の名前は「アークマ」"""
text03#1,"""アークスシップ対抗戦の管理管轄を行う<br>ヒューマノイドインターフェイスだ。"""
text04#1,"""以後、よろしく頼む。"""
text05#1,"""さて、早速だが、全艦を挙げての<br>「アークスシップ対抗戦」<br>開催を近日予定している。"""
text06#1,"""「アークスシップ対抗戦」とは<br>全プレイヤー参加型による、ポイントと<br>勝ち点により勝敗を競うバトルである。"""
text07#1,"""詳しい説明はショップエリアにいる<br>私の所で行う。"""
text08#1,"""私はモニュメント広場前で<br>貴君が訪れるのを待つ。<br>キュートな私だ、すぐ見つかるだろう。"""
text09#1,"""それでは、また後程。"""
text10#1,"""『アークマのいる場所』について"""
text11#1,"""アークマはショップエリア・モニュメント広場にいます。<br><br>ショップエリアへ向かいましょう。"""
